airline_name,author,date,content,type_traveller,cabin_flown,overall_rating,seat_comfort_rating,cabin_staff_rating,food_beverages_rating,inflight_entertainment_rating,ground_service_rating,value_money_rating,recommended
adria airways,D Praetextatus,2019-09-28,"Not Verified |  Please do a favor yourself and do not fly with Adria. On the route from Munich to Pristina in July 2019 they lost my luggage and for 10 days in a row, despite numerous phone calls they were not able to locate it. 11 days later the luggage arrived at the destination completely ruined. Applying for compensation, they ignored my request. Foolishly again, I booked another flight with them (345 euros) Frankfurt - Pristina in September 2019. They cancelled the flight with no reason 24 hours before the departure. Desperate phone calls to customer service to get anything (rerouting, compensation, etc) were not responded. I will never fly again with Adria. What a disgrace! Shame on you Adria for constantly deceiving your customers.",Solo Leisure,Economy Class,1.0,1.0,1.0,,,1.0,1.0,no
adria airways,D Meijer,2019-09-24,"✅ Trip Verified | Do not book a flight with this airline! My friend and I should have returned from Sofia to Amsterdam on September 22 and 3 days before, they sent us an SMS informing the flight was cancelled. For 3 straight days we tried to reach the airline and the web agent (e-dreams) and we did not get a solution. Finally, 18 hours before our cancelled flight time, and after 35 minutes on a call (waiting), the airline was able to get us on a flight with Lufthansa. Do not book Adria Airways, it is unreliable and in our case, it ruined our last days of holidays since we needed to be on the phones all day.",Couple Leisure,Economy Class,1.0,1.0,1.0,1.0,1.0,1.0,1.0,no
adria airways,Herbse Mayer,2019-09-17,✅ Trip Verified |  Had very bad experience with rerouted and cancelled flights last weekend with Adria airways. Original Route was Ljubljana to Sarajevo return. Two weeks before i received an email that the flight was cancelled. Offered route change was Ljubljana to Sarajevo via Munich. Flight back changed to Sarajevo-Pristina-Ljubljana. I accepted. The first flight via Munich was ok. Two hours before the return flight I got the email that the flight was cancelled. I had to rebook via hotline and had to accept a flight with Croatian to Zagreb. I reached Ljubljana 4 h later and had to organize Transport from Zagreb to Ljubljana on my own cost. Do not book flights with Adria airways. I heard that their financial situation is very very bad.,Couple Leisure,Economy Class,1.0,1.0,1.0,1.0,1.0,1.0,1.0,no
adria airways,D Bole,2019-09-06,"Not Verified |  Ljubljana to Zürich. Firstly, Ljubljana airport is terrible. Badly trained staff, unfriendly. Toilets are very dirty. Flight 2 hours delayed without any information. There is no Information desk so questions aren‘t possible. Never again will use this airline. Its even worse than the budget airlines and thats difficult. ",Business,Economy Class,1.0,1.0,1.0,1.0,,1.0,1.0,no
adria airways,B Cosmin ,2019-08-24,"Not Verified |  First of all, I am not complaining about a specific flight. I am a Lufthansa frequent Flyer and I normally fly the route Munich - Timisoara. This summer season Lufthansa offered the flights on this route to Adria Airways, as they are a star alliance member. I can only tell that I have the worst experiences with them. In over 90% of the cases they are late, they don't fly on time. Always they offer the same excuse: they have no slot free. This is an unacceptable excuse, as all other companies flying on similar coridors seem not to have this problem. In addition, as LH Cityline was operating these flights I have almost never heard this excuse, or had this problem. I am flying on this route for 6 years already. They started also to cancel some flights. Maybe combine 2 flights into 1 to spare some money, who knows. The cabin crew is decent - not wow, not bad - but there also also situations when the staff are really rude and not customer oriented. I would recommend anyone to fly with this company. If you have the chance, book another company!",Solo Leisure,Economy Class,1.0,1.0,1.0,1.0,1.0,1.0,1.0,no
adria airways,Thomas Gloor,2019-08-06,✅ Trip Verified |  Worst Airline ever! They combined two flights to save costs. Instead of flying Pristina - Ljubliana - Zürich we now fly Pristina - Ljubliana - München - Zürich. Now we arrive 2.5h later at our destination.,Solo Leisure,Economy Class,1.0,1.0,2.0,1.0,1.0,1.0,1.0,no
adria airways,M Jager,2018-10-12,"✅ Trip Verified | Ljubljana to Munich. The homebase airport of Adria Airways is Ljubljana and it very small, relaxing and convenient. It is surrounded by the Alps and the departure was fantastic. The airplane was modern and the crew was nice. Ontime departure. Drinks without alcohol were free and I paid 4€ for my white wine. Considering that I had a cheap ticket I cannot complain. Upgrades would have been available for 30€ - which includes the lounge.",Family Leisure,Economy Class,8.0,4.0,4.0,3.0,,5.0,5.0,yes
adria airways,Giulia Rossi,2018-10-05,Not Verified |  Zurich to Ljubljana. Very poor customer service. Flight was cancelled without sending any email confirmation. The flight I was rebooked seemed to be overbooked at the beginning (which was not true)and we had to wait 30 min to have our ticket changed. Very bad experience overall.,Business,Economy Class,1.0,2.0,1.0,,1.0,1.0,1.0,no
adria airways,Galya Slavov,2018-07-29,"✅ Trip Verified |  Vienna to Sofia. The flight was delayed by 2 hours. The cabin crew was annoyed that they had to offer drinks to the passengers and passing by announced they would only give one drink per customer. And coffee was a nuisance and they made it clear, even though it was on their cart. The questions would normally go ""would you drink anything?"" and not ""what would you like to drink?"". Very bad customer service.",Family Leisure,Economy Class,1.0,4.0,1.0,1.0,,4.0,1.0,no
adria airways,Loic Jouan,2018-07-19,"✅ Trip Verified |  We were traveling from Paris to Skopje on May 4th, via Ljubljana. Our flight from Ljubljana to Skopje, was canceled 10 days before our departure for no reason, leaving us in the middle of our connection at Ljubljana. Even if the company booked a hotel for us and made sure we could take a flight the next day, it prevented us from enjoying one more day in Macedonia. The company had agreed to reimburse the hostel night we had already paid but more than two months after our claim we still have no reply from the company. I e-mailed the company two times, called them on multiple occasion. The company said I would be reimbursed after 2 months. 2 months later, I still have not received anything. The experience with Adria Airways was overall very poor : - flight canceled for no reason - 2 out of 4 of the flights we took were delayed - terrible customer service, unable to give any answer to our online claim and not reimbursing the hostel night we had already paid",Solo Leisure,Economy Class,2.0,3.0,3.0,,,3.0,2.0,no
adria airways,P Gamirj,2018-06-30,"✅ Trip Verified |  Ljubljana to Munich. Adria's checkin system is obviously barely coping. It wasn't possible to obtain an electronic boarding pass (iphone wallet version) from Adria's site. The option was there but it failed without any further explanation. Further more I was not able to checkin to return flight online - neither through Adria nor Lufthansa web site. In the end I made it via Lufthansa mobile app. Go figure. Both issues were reported to customer care and both were ignored. I experienced the same customer care ""policy"" couple of years ago when my inquiry with customer support was basically ignored. Flight was actually operated by a Romanian company Carpatair. The cabin was outdated and dirty with a funny smell lingering around. The latter stuck to my clothes for the day - not that great if you are meeting a client. Cabin crew was also quite disorganised and mixed up orders of all passengers sitting around me. Would not fly again. Unfortunately they are the only company offering a direct flight from LJU to MUC.",Business,Economy Class,2.0,1.0,2.0,2.0,,2.0,1.0,no
adria airways,B Haruz,2018-06-24,"✅ Trip Verified |  A very unpleasant experience for my family. We bought two return flights (Ljubljana-Prague-Ljubljana, Ljubljana-Warsaw-Ljubljana), and several days before departure both direct flights from and to Prague were canceled and a flight to Warsaw was merged with Prague flight (so added necessary stopover). Instead of a direct flight to Prague Adria Airways finally offered a transfer via Munich. When we arrived at the airport (21/6/2018), we found that the flight to Munich had more than an hour of delay, and therefore it was not possible to catch the next flight from Munich to Prague. The flight to Munich was full of people from the original canceled flight to Prague, who subsequently wanted to continue to Prague. Although the Adria Airways staff were present at the airport, no one came to inform the passengers and the result was tremendous confusion and lack of information. Ljubljana airport servicing staff finally informed us that Adria Airways staff refused to come! Also wasn't possible to call the Adria Airways hotline. Maybe it had been overloaded due to the number of disgruntled passengers because the next gate was full of people waiting for a delayed flight to Vienna, where there also wasn't anybody from Adria Airways who could provide any information. Unfortunately this flight left without us and we were all forced to ride from the Munich airport to a more than 30 km distant hotel and the next morning at 6am again back. Permanent cancellation of flights and subsequent ignorance of passengers are surely a way to reduce operating costs, but in the long-term this will cause the outflow of passengers to other airports around Slovenia, especially to Graz and to Zagreb.",Couple Leisure,Economy Class,3.0,3.0,3.0,,,1.0,1.0,no
adria airways,Michel Zombra,2018-05-04,"✅ Trip Verified |  Frankfurt to Ljubljana. Flight was very comfortable, professional crew. The monitors above passengers provide informations about flight (speed, altitude, temperature, time to landing, etc.)",Business,Economy Class,10.0,5.0,5.0,5.0,,5.0,5.0,yes
adria airways,S Hanarosic,2018-03-11,"✅ Trip Verified |  Ljubljana to Frankfurt. Flight delayed for more than 2 hours due to technical problems. We were not given any food or water and when I requested some I was told to complain to Adria Airways website. Another plane was organized, more than 2 hrs later. The staff was trying to convince the passengers that their connection to Singapore will wait (they had 15 min in between the new flight arrival time and departure!), and that the flight to Frankfurt is 1 hr - and no wifi connectivity on flight!",Solo Leisure,Economy Class,1.0,2.0,1.0,1.0,1.0,1.0,1.0,no
adria airways,P Gregan,2017-12-05,"✅ Trip Verified |  Ljubljana to Vienna. Overall, the flight services of Adria are those of an average, reliable, small European carrier. I have flown them many times over the years, and I have seldom experienced any problems with the flights themselves. Returning to Vienna from a visit to Albania and Slovenia in September, however, I had an encounter with Adria that has revealed just how much their customer service quality could be improved. Adria offers opportunities to purchase business class upgrades or empty economy class seats through Optiontown. Business class upgrades on Adria are a joke because you're paying at least 50EUR for an empty seat next to you and a snack. The option to purchase an empty economy class seat at 19EUR is a great deal though, in my opinion. Having selected this option for my LJU-VIE flight, I received a confirmation that my transaction had cleared and the extra seat had been assigned next to me. Fast forward to the actual flight: there had been an aircraft change from the CRJ-900 to an ATR-72 (Darwin Airlines/Etihad Regional), but I still had my empty seat. The ATR-72 has two seats that face towards the rear of the plane at the front of the cabin, and one of the women seated there was scared to fly backwards, so the flight attendant unilaterally reassigned her to my empty seat without asking. It's a short flight, and I didn't want to cause a scene, so I just let it all happen assuming I could easily get a refund for my 20EUR transaction. It took exactly one month for Adria's customer service team to respond to me, and they said that my ""business class upgrade"" had not cleared, so I was not charged. I had never requested a business class upgrade, and I was charged for the empty seat I had in fact requested, so I sent all of the relevant receipts and statements back to Adria. Three weeks later, I still have yet to receive a response, so I simply disputed the charge with my credit card company that was easily able to understand the issue and refunded the money. 3-4 weeks+ response time from customer service is absolutely embarrassing, and Adria should be ashamed of their operations. It's sad for an otherwise perfectly acceptable airline to lose a customer over 20EUR.",Solo Leisure,Economy Class,3.0,2.0,4.0,1.0,,1.0,3.0,no
adria airways,G Vincent,2017-11-20,"✅ Trip Verified | Two nice short flights from Ljubljana to Sarajevo and back. First flight with Adria, flight back with Adria Switzerland. Flight to Sarajevo delayed due to fog in Sarajevo, Adria quickly changed an aircraft so that it was possible to land in foggy weather (CRJ instead of ATR). Product depends weather it is Adria or Adria Switzerland. Adria with snack, water and buy on board product, Adria Switzerland with snack, water, tea and coffee and without buy on board. I personally prefer the second option. Adria Switzerland provided nicer and cosier atmosphere on board, somehow a kind of premium product compare to Adria mainline.",Business,Economy Class,9.0,5.0,5.0,3.0,,5.0,3.0,yes
adria airways,A Kalen,2017-10-27,✅ Verified Review | We were 11 people coming in with a short connection to Zurich hoping to continue with Adria to Ljubjana. We were before final call at the departure gate. Other people were still boarding. Adria had decided to rebook us and could not put us back on the plane. I and my wife had no checked in baggage. We had to wait 5 hours for next flight. This was extremely bad service and will do our utmost to never have to fly Adria again. We will also warn all our flying friends.,Couple Leisure,Economy Class,2.0,3.0,3.0,,,1.0,1.0,no
adria airways,J Marikovic,2017-09-16,"✅ Verified Review |  Ljubljana to Munich after arriving from Atlanta on Delta. Flight was ok, short 50 min. But they lost our baggage, if we didn't persistently call the airport we wouldn't have our bags for a week because they are lazy. One bag was badly damaged and things missing. We did everything they told us to do to report it but they didn't honor it and it took 3 months for them to pay us around 20% of the replacements and extra expenses we had for days. Very rude, try to blame it on the customer, if you don't live in Slovenia and your only communication is over emails it takes 2 to 3 weeks for them to reply even if you send them email right after they sent one. That day they lost baggage for 3 different passengers and when we had our return flight there were two more passengers that said they lost their bags so this is normal for that airline. It was a cheaper option to fly with them, but it was not worth the extra cost later. I would never fly this airline again. ",Family Leisure,Economy Class,2.0,3.0,4.0,1.0,,1.0,2.0,no
adria airways,Alexander Stare,2017-04-19,"✅ Verified Review | Ljubljana to Zurich on April 18th. Adria Airways has become in recent years a more reliable airline which I use for these flights. I can't remember a delay and I fly them once a month. Flight Attendants are professionel. Food and Drinks (except water) have to be purchased. Sandwiches are tasty, wine choice could be better. Newspapers are available for free but mostly in Slovenian language only. Seat pitch on emergency exits are above international standards and safety seems to be their Nr. 1 aim as it is one of the rare airlines having extra safety instructions for passengers seated on emergency exit seats. Their inflight magazine is available online or printed. Not necessarily exciting but solid and reliable product which I can recommend.",Business,Economy Class,9.0,5.0,5.0,4.0,4.0,5.0,4.0,yes
adria airways,Andreas Hartlieb,2017-01-27,"✅ Verified Review |  Ljubljana to Vienna. After a fast boarding procedure the plane took off in time. The seat was quite comfortable although the cabin looked a bit nagged. Despite the fact that this was a regional flight, Adria Airways offered a Wifi service with good connection, an IFE system and free chat function amongst the passengers. A very friendly crew welcomed the passengers onboard and started their service which was pretty impressive for this 50 minutes flight. The business meal tasted great and we landed punctually in Vienna.",Solo Leisure,Business Class,8.0,5.0,5.0,4.0,5.0,5.0,4.0,yes
ana all nippon airways,Larry Silverstein,2020-04-11,"✅ Trip Verified |  New York to Tokyo with ANA. Unbelievably good from gate staff right through to landing. You have not experienced business class until you fly in the ""room"". Best business product out there. Food was exceptional, FAs were excellent. IFE screen state of the art, but enough movies to get you through a 14 hours flight. Highly recommended.",Couple Leisure,Business Class,10.0,5.0,5.0,5.0,4.0,5.0,5.0,yes
ana all nippon airways,Ken Inaba,2020-04-01,"✅ Trip Verified |  Fukuoka to Vancouver  via Tokyo Haneda. Wonderful selection of beverages, music, movies and reading material in multiple language from a variety of genres. I appreciated the drink menu and that meal times were specifically posted in the booklet. The Kabosu aromatic water and Zange donburi were delicious. Customer Service was pleasant and cheerful while being polite. The photo I attached was from the breakfast which could have taseted better, but the quickness and practicality, with the addition that I knew exactly when it was coming showed me the preciseness of the care that was put into the planning and implementing of this service. I am sure it was easy to dispose of too which was an effective strategy, reducing the anxiety of the last couple hours significantly.",Solo Leisure,Economy Class,9.0,4.0,5.0,5.0,5.0,4.0,5.0,yes
ana all nippon airways,Michelle Massey,2020-03-25,"✅ Trip Verified | Narita to Perth. ANA kept us informed of their actions regarding Covid19 when it was apparent that changes would be necessary due to health and supply issues. A week prior to our flight it was stated that our route would be suspended the day after our flight. Whilst the Australian governments changed their policy daily during this period, our flight remained with on ok status. We flew last night, despite having an extremely low number of passengers. Despite enduring obvious concerns regarding their industry and their personal careers, the flight staff were friendly, helpful and professional. My admiration and gratitude are overwhelming. A great and comfortable flight and any opportunities to fly with them again will be taken happily. Japan, as usual, was hygienic and had diligent use of masks and hand sanitizer everywhere. We felt completely comfortable travelling throughout our 18-day travels, with business as usual, wherever possible.",Couple Leisure,Business Class,10.0,5.0,5.0,5.0,5.0,5.0,5.0,yes
ana all nippon airways,Jarosław Miazga,2020-02-25,"✅ Trip Verified |  A very enjoyable flight. I flew round-trip from Tokyo to Okinawa and was surprised that even the cheapest fare on their domestic routes includes registered luggage and allows you to choose a seat for free. The cabin crew was outstanding, one of the flight attendants gave me couple of their Star Wars postcards after I'd told her my parents are big fans of the franchise. All in all, I will surely consider flying with them again if I ever find myself in Japan again.",Solo Leisure,Economy Class,10.0,4.0,5.0,5.0,5.0,5.0,5.0,yes
ana all nippon airways,Mohamed Elsamak,2020-02-24,"✅ Trip Verified |  Kuala Lumpur to Los Angeles via Tokyo. The premium service I have received in ANA airline exceeded all the expectations. ANA's aircraft and staff hospitality are awesome, simply they reflects the spirit of Japanese. Thanks for ANA.",Solo Leisure,Economy Class,10.0,5.0,5.0,5.0,5.0,5.0,5.0,yes
ana all nippon airways,Amanda Lockett,2020-01-29,"Not Verified |  ANA is the best airline I have been on. The staff are amazing the food is good for airplane food. The reason they are amazing is because the seats were nice, the cabin and bathroom clean and there were no delays at all. The safety video was in Japanese and English with subtitles in both languages. We were in economy on departure and in premium economy coming back. The seats in economy and premium economy had a foot paddle and the seat was comfortable and recline was good. The entertainment was pretty good with lots of new movies like Endgame, Spider-Man, Far from Home and Godzilla. The lounge in Tokyo Haneda welcomes business and Premium Economy passengers which lots of airlines don't do (and only welcome business class passengers) The food was good and the lounge staff were so polite. Every time you walked past them they would say “Kon ban wa”. so I highly recommend ANA. It's a great airline.",Family Leisure,Economy Class,10.0,5.0,5.0,4.0,4.0,5.0,5.0,yes
