airline_name,author,date,content,type_traveller,cabin_flown,overall_rating,seat_comfort_rating,cabin_staff_rating,food_beverages_rating,inflight_entertainment_rating,ground_service_rating,value_money_rating,recommended
cathay dragon,Felix Jiaxin ZHU,2020-04-26,"Not Verified |  Nanjing to Hong Kong. Nice airline, good food. Seat quality maybe not as nice as a Boeing 777. Aircraft looked pretty clean, flight crew was kind,  not a 5-star airline but it must be a 4-star. The TV was not in such a good condition. ",Family Leisure,Economy Class,8,4,5,5,3,5,4,yes
cathay dragon,A Berlov,2020-03-19,"✅ Trip Verified |  Hanoi to Hong Kong. There are new business class seats on the plane, very pleasant and comfortable. The food is good, the choice is standard. Stewardesses good and pleasant service",Solo Leisure,Business Class,8,5,5,4,3,3,3,yes
cathay dragon,JJ LIM,2020-02-07,"✅ Trip Verified | Hong Kong to Okinawa Naha. Overall - A very pleasant flight. The only two gripes I have was that they changed the plane to a narrowbody A321 when the flight was supposed to be operated on an A330, and the other being that the legroom on the A321 was not as generous as their widebody aircraft (but then again, every A321 is going to offer lesser legroom). With that out of the way, everything else was done right. Boarding was seamless, cabin crew were very professional and courteous, and up-to-date IFE was offered even on the narrowbody A321. Meals were provided too. Not much time was wasted on the ground and we were airborne before scheduled time. All in all a very pleasant flight.",Couple Leisure,Economy Class,8,5,5,4,5,5,3,yes
cathay dragon,Keng Leong,2020-01-30,"✅ Trip Verified |  Hong Kong to Kuala Lumpur. Have flown this route many times connecting from Chicago on Cathay Pacific. In the past service and food has been ok. However, on this trip noticed that the service manager delivered the menu to the 5 or 6 passengers first and addressing each by their name, but I was completely ignored. Only after these passengers were served was I given the menu in silence. ",Solo Leisure,Business Class,1,3,1,3,3,3,3,no
cathay dragon,Claudio Operti,2019-12-14,"✅ Trip Verified |  Qingdao to Hong Kong return in Business Class. Impressive experience, I did not expected such outstanding service on a 3-hours flight. Comfortable 2x2x2 seat arrangement, large seats (even if they cannot become a flat bad - but this is not required on such flight), large video screen with wide selection of movies, also very recent. Full meal with several courses served both ways, very good food and wine, with continuous refills of drinks, very kind and efficient cabin crew. Surprisingly service on this flight was better than on the following Hong Kong - San Francisco flight with Cathay Pacific - I was expecting the opposite. Flight from Qingdao left 40 minutes late (which is the rule for every flight leaving from Qingdao, airport is far too small for the present traffic volume) but arrived Hong Kong in time. Flight back perfectly on schedule, and no issues with luggage.",Business,Business Class,10,4,5,5,5,5,5,yes
cathay dragon,William D Webster,2019-11-04,"Not Verified |  We are very disappointed in Cathay Dragon. We booked a flight from Hong Kong to Phnom Penh on Oct 30, 2019 because they advertised it was on a roomy A330, but the airlines substituted a smaller A320. If we had been notified of the change and given the chance to change our flight date to an A330 we would have done so. ",Couple Leisure,Economy Class,2,1,3,1,1,3,2,no
cathay dragon,R Sanyal,2019-10-08,"✅ Trip Verified |  Hong Kong to Kolkata. An excellent flight where I was doted on by two very amiable and helpful cabin crew members. It helped that I was one of just two passengers in the business class section which had 8 seats in two rows of 2x2. A menu card was provided and my selection was tasty and filling. A good complement of drinks and spirits was on offer. However, they have not changed their dessert, a small cup of Haagen Daz ice cream, in at least 7 years. It is always served solid frozen - I passed on it and had some port wine instead. The flight departed on time from a satellite terminal which was reached by a short bus ride from the main terminal. Arrival was on schedule. Indian government landing cards, required of foreigners, were provided on board. The seats are traditional business class recliners and were reasonably comfortable. Boarding was smooth, intermixed with main cabin travelers, through a jet way. I-pads with a small selection of films and shows were provided soon after take off. It was difficult to slot them into the metal clasps on the back of the seat in front of you; you needed to hold on to the i-pad to watch your program. Magazines and newspapers on offer. Lots of storage space overhead. Leg space could be a tad extra - once you recline fully, your toes juts on the bottom of the front seat. Announcements were made in clear English and for a very thoughtful touch, also in Bengali, the language of the destination city. Cathay Dragon had a duty free catalog and three of my four selections were available for purchase. This is one aspect of travel I very much enjoy as it lets me pick up last minute gifts.",Solo Leisure,Business Class,9,4,5,5,3,4,4,yes
cathay dragon,L Hong,2019-09-08,"✅ Trip Verified | Hong Kong to Xi'an. Being the second time travelling with Cathay Dragon, my impression towards this airline is greatly improved. In my flight to Xi'an, except for my IFE that failed to show the flight map, everything just went right and nothing special happens, the cabin crew also provided good service to us. However as things went wrong in the return flight back from Xi'an to Hong Kong, the excellence of the Cathay staff is well demonstrated. As the Hong Kong Airport Authority restricted flights from landing in Hong Kong that day, after we entered the cabin with the door closed, we were still not sure whether we can fly. The cabin crew reacted professionally to answer many enquiries from passengers, meals were served on ground and we could just wait for further notifications from the pilot. Finally, the flight was delayed to the next day, we were then forced to leave the cabin and went back to the airport, the only thing that made me discontented is that there was no any compensation from the airline, though the airport restriction issue is not the problem of the airline. In the delayed flight next day, we saw the same crew and they also showed how professional they are. After knowing that it is the birthday of one of our friends, they even provided snacks and gifts to us. Their quality of service was just awesome and left us very deep impression. It is really an unforgettable experience travelling with Cathay Dragon and it is definitely a yes if I have a chance to travel with them once more!",Solo Leisure,Economy Class,9,4,5,4,4,3,4,yes
cathay dragon,R Gonzaga,2019-09-02,"✅ Trip Verified |  Kuala Lumpur to Hong Kong the first leg of a trip to IAD. Check-in at KLIA was very efficient and the check-in staff were very helpful. The boarding process was handled well with CX staff on hand making clear announcements. The plane was old and tired and the tray table was dirty, stained with spilled food and orange juice. On board, the FAs were pleasant and efficient but that's where it ended. There was no personal interaction of any sort. They did their jobs well and efficiently but that's it. The food was disappointing, small portions and not great in flavour. The IFE was good with an extensive choice of programs. Generally an unremarkable experience but we did leave on time.",Family Leisure,Economy Class,6,3,4,2,4,5,4,yes
cathay dragon,S Vickers,2019-09-02,✅ Trip Verified | Wuhan to Hong Kong. Overall the experience was wonderful. The flight was delayed for around one hour and meal was provided at the gate. The meal was even better than those served in cabin on many Chinese domestic airline's flights. Cabin crew were nice and friendly.,Solo Leisure,Economy Class,9,4,5,5,,4,5,yes
