airline_name,author,date,content,type_traveller,cabin_flown,overall_rating,seat_comfort_rating,cabin_staff_rating,food_beverages_rating,inflight_entertainment_rating,ground_service_rating,value_money_rating,recommended
ellinair,G Stoykovich,2019-06-14,"Not Verified |  Mykonos to Thessaloniki . A short, super enjoyable flight!  Everything went well on both flights, the planes were nice and clean, crew presentable, professional and helpful, and the flights on time, short and so enjoyable - I kept looking through the windows at the islands we were flying over, beautiful! Both flights were under 50 minutes long, we even got a small bottle of water, coffee, a cookie and a wet towel. I can totally recommend Ellinair.",Solo Leisure,Economy Class,10,5,5,4,,5,5,yes
ellinair,Christine Croxton,2018-11-23,"✅ Trip Verified |  Heraklion to Athens. We bought the online ticket because it included hold baggage in the price and appeared to be the most reasonable. We checked in very easily as there was no one at the checkin desk. We had our bags tagged and sent on the conveyor belt at 10am. Alls good. We had a quick flight to Athens all on time. Within 15 minutes of arriving at Athens we were able to pick up our bags off the carousel. Took them to the taxi. Less than an hour later we checked in our Athens Plaka Hotel. My husband went to open his bag and to his dismay he found the toggle openers of his Osprey pack had 5 out of the 6 missing off his zips making it virtually impossible to open. I immediately emailed Ellinair, they responded and said a complaints department would contact us. They did but because we hadn’t notified the people at the airport they couldn’t do anything about it. Well, we didn’t notice the missing handles at that point. Anyway, since then we have realised that the bag had been opened and new gloves had been stolen.  For this reason we wouldn’t go near Ellinair or Heraklion Airport ever again. The most reasonable ticket has ended up costing us a lot more than we bargained for. We are incensed that there are staff who are dishonest and clearly not enough checks are done when employing people. There should be cctv in place in the baggage handling area so they can be checked as I’m sure we are not the first or the last to have items stolen during baggage handling.",Couple Leisure,Economy Class,2,3,3,,,1,1,no
ellinair,S Karykas,2018-10-09,"✅ Trip Verified |  Thessaloniki to Athens. Very nice and comfortable journey. Flight was almost full. Used the website to check-in and a mobile phone boarding pass was sent, making it really easy. Crew was friendly and helpful. Candy, small snack and drink offered in this 40' domestic Greek flight. Luggage was included in the price and although I did not have any, it made the cabin have much more space for people's hand-luggage. Timely and orderly departure and arrival. Very good experience - I  recommend them on this route.",Solo Leisure,Economy Class,10,5,5,5,,4,5,yes
ellinair,Dimitrios Trakas,2018-07-19,"✅ Trip Verified |  Moscow to Thessaloniki. I usually use this company in my trips to Moscow. Even if i was wondering about this new company that they use leasing airplanes, i tried it and i want to say just one thing. these are our lovely Greeks. Every trip is small party, specially when the destination is a Greek airport. People are drinking free alcohol (Greek wine), they are eating, and are enjoying their trip. Staff is very good.They use more than 3 languages.",Solo Leisure,Economy Class,9,4,5,5,3,4,5,yes
ellinair,S Karykas,2017-09-04,"✅ Verified Review |  Very pleasant flight from Athens to Thessaloniki with Ellinair. Easy process of booking and e-check in, the boarding pass is sent to the mobile, so no app or printer is needed. Athens Airport was a breeze, the fee included checked baggage, so I chose to check in my hand luggage also (for free - the company did it with a smile). Departure and arrival on time, flight about 60% full. Good legspace, service included very small snack and drinks. Immaculate and smiling crew. Quick retrieval of baggage in Thessaloniki. Excellent experience!",Solo Leisure,Economy Class,10,5,5,5,,5,5,yes
ellinair,D Ison,2017-06-26,"✅ Verified Review | Both flights I took from Thessaloniki to Athens return had a delay. The aircraft was tiny and the air condition was blowing warm air. It really felt like a bus. The cabin crew was professional, kind and tried to counterbalance this mess. The ticket was a bit cheaper relative to other companies but very expensive considering the level and the quality of service provided.",Solo Leisure,Economy Class,6,1,4,2,,4,3,no
ellinair,Thanassis Michaelides,2017-04-23,"✅ Verified Review |  Thessaloniki to Athens. I was pleasantly surprised by the service on this short flight (approx. 40min). Service was quick, good selection of drinks and small candies and biscuits. Friendly staff, aircraft was clean. The crew are ready to assist the passengers. I will be happy to fly them again.",Couple Leisure,Economy Class,10,5,5,5,,5,5,yes
ellinair,C George,2017-04-18,✅ Verified Review |  Flew Ellinair from Thessaloniki to Cologne. Booking process and space on the plane were unacceptable. Staff were friendly. Propably the only aspect which could be reviewed as good. The airline is not following European standards and is charging extreme prices for this poor service.,Solo Leisure,Economy Class,3,1,4,,1,4,1,no
ellinair,Andrew Jenkins,2016-09-01,"We decided to fly from Santorini to Heraklion rather than take the fast ferry as there wasn't much difference in price and it was more convenient to arrive at Heraklion airport. We hadn't heard of Ellinair and there weren't many reviews. We were a little apprehensive but we were pleasantly surprised. The flight was on-time, the aircraft clean and comfortable and the crew were friendly and professional.",Family Leisure,Economy Class,9,4,5,,,4,5,yes
ellinair,Roberto De Marzi,2016-08-22,"✅ Verified Review |  I flew Ellinair from Thessaloniki to Verona. The flight had 30 minutes delay, otherwise everything went really fine. A nice meal on board and the baggage (incl 20kg) were included for a really cheap price. The aircraft, a Boeing b737 was a bit old but the seats were really comfortable.
",Solo Leisure,Economy Class,9,4,4,4,4,4,5,yes
