airline_name,author,date,content,type_traveller,cabin_flown,overall_rating,seat_comfort_rating,cabin_staff_rating,food_beverages_rating,inflight_entertainment_rating,ground_service_rating,value_money_rating,recommended
eva air,N Partin,2020-05-07,"✅ Trip Verified |  For weeks, I've been trying to contact EVA Air regarding a refund or rescheduling of four flights between NY and Tokyo in July 2020 because of the COVID-19 travel ban. The refund form on the website returns an error although I put it the valid ticket numbers from the reservation that there on the same website. They removed all email addresses from the contact so that is impossible to contact customer service. Left only phone numbers that, if you call, play a recorded message that they can't take your call. I sent a message on Facebook and they said you have to call us. After I told them the phone number plays a recorded message, they won't reply.",Business,Economy Class,1,,,,,,1,no
eva air,W Harvey,2020-05-04,Not Verified |  London to Bangkok . Very comfortable seats with own monitor. Punctual and reliable. Crew are firm(take no nonsense)and polite. Good service. Special meal is not an option in economy. Lots of foreign films to watch. Overall very good airline.,Solo Leisure,Economy Class,9,4,4,4,4,3,4,yes
eva air,Mark Schneider,2020-04-10,"✅ Trip Verified | Los Angeles to Bangkok via Taipei. EVA Air is an excellent airline. I have flown them almost exclusively. Great service, food is decent, and they are highly recommended. However, in this era of COVID, they appear to be using the virus as an excuse for some sort of bridge loan, from their customers. I had to cancel a recent flight to the US, and they tell me it will be fully refunded. Within 90 days! Yes, you heard that right. They are going to keep my money for three months, even though they have agreed to a refund. Is any other airline doing this? I can understand that they are busy. But three months?",Couple Leisure,Premium Economy,8,4,4,4,5,5,4,yes
eva air,Nick Santini,2020-04-04,"✅ Trip Verified |  On 03/22/2020 EVA Air cancelled my flight from Bangkok to Seattle via Taipei for 30th march. On 03/27/2020 I submitted the  refund request form on their website and they have not issued me a refund yet.  I have tried calling every  phone number I can find for them however, they just ring and ring and ring. Some of the numbers have automated messages saying they have a high volume of calls right now and then hang up on you. ",Solo Leisure,Economy Class,1,,,,,,1,no
eva air,Pierre Yves Becher,2020-03-30,✅ Trip Verified |  Paris to Taipei. Clean and pleasant cabin despite being very noisy and dry Boeing 777. Comfortable seats worth the extra price for such a long flight. Average food. Biggest disappointment was the service. Smile is there but sincerity is not. This airline has a good hard product that makes the flights OK. But their service is just. Especially considering how cheerful and lovely the people of Taiwan can be.,Couple Leisure,Premium Economy,6,4,2,3,3,4,4,yes
eva air,Kim Lan Mo,2020-03-24,"✅ Trip Verified |  I booked my flight on 3/19/2020 for 4/20/2020 from San Francisco to Hong Kong via Taipei. On 03/22/2020, Taiwan announced that they will ban transiting through Taiwan airports to control coronavirus until 4/7/2020. The policy may subject to extend, which means I may not be able to take the plane on 4/20/2020. My visa is going to expire by the end of April. I need to cancel my EVA flight as soon as possible and rebook a direct flight to HKG in March. I cannot wait until April to see if Taiwan will extend the ban policy. However, when I called EVA Air customer service the lady told me that only the flight booked before 3/18/2020 can be fully refunded. In my case, in order to process the refund, I need to wait until Taiwan announces the ban extension, which will probably happen in April. ",Solo Leisure,Economy Class,1,,,,,,2,no
eva air,A Barner,2020-03-23,"✅ Trip Verified |  Bangkok to Vienna on 22 March. Ticket Booked, could not check in. No Customer support desk open only Mon - Fri. Could not choose seat even though was in tariff from ticket. Service onboard was okay and staff good. Flight on time. Flight changes random due to coronavirus and little support. And as no more premium economy on route Vienna to BangkokI will be flying with a different Carrier.",Solo Leisure,Economy Class,3,4,4,4,,1,2,no
eva air,T Hayne,2020-03-20,"✅ Trip Verified |  Bangkok to London. Original flight cancelled and got moved to a new flight on 18th March. I was told at Bangkok airport to speak with London on recompense for the extra night, and they used the corona virus excuse for not paying yet, 24 hours later. I guess the saying is true, you pay for what you get.",Solo Leisure,Premium Economy,2,3,4,3,3,1,2,no
eva air,Paul Bailey,2020-03-14,✅ Trip Verified |  Amsterdam to Bangkok in Premium Economy. An excellent flight. The crew were wonderfully friendly. The food was plentiful and really fresh and tasty. I found the seat to be very comfortable with plenty of leg room. If I had any negative comments they would be that announcements need to be clearer and I also thought the meal service was a little rushed. Overall an excellent experience.,Solo Leisure,Premium Economy,9,5,5,5,4,5,5,yes
eva air,Roland Koops-Vytopil,2020-03-09,"✅ Trip Verified |  Vienna to Bangkok. We were travelling with my Mom (she's in need of a wheelchair) - Check-in in Vienna was done within 5 minutes, the agent reseated us to the first economy class row which means a lot more room and comfort (especially for an elderly person). Cabin crew was very nice, attentive and supportive right from the beginning. The flight itself was easy going, I was amazed by the amount of cabin crew members because you do not find that onboard of western airlines anymore. Food was above economy standard, the only downside was the entertainment system. It was sufficient but nevertheless limited. Wheelchair service at Bangkok airport was very well organized, the cabin crew informed us right before landing about the available ground staff services. Everything said applied also for the return flight, this time the transfer agent at Bangkok airport changed our seats and so we had again the pleasure of bulkhead seats. This flight was one of the nicest we ever experienced in economy class. Thanks EVA and well done!!",Family Leisure,Economy Class,10,5,5,4,4,5,5,yes
eva air,C Meares,2020-03-01,"✅ Trip Verified |  Taipei to Seoul. Disappointing flight, not busy, but plane is old Hello Kitty plane no hot beverage service or drinks. Just given a bag with cake and water inside. Not really sure why? Cabin crew average. Poor business class offering on this flight.",Family Leisure,Business Class,5,3,2,1,2,4,3,no
eva air,Rafael Suarez,2020-02-05,"✅ Trip Verified | This trip to Jakarta makes my 26th trip on EVA Air between Houston and Jakarta. I have looked at other airlines and even at slightly cheaper prices, is just not worth it for me to try someone new. This flight is a late night departure from Houston and to my surprise while waiting to board, I was called to the desk and given an upgrade to Premium Economy on the Houston to Taipei leg of the trip. Boarding as usual done very efficiently following the group numbers. This time I had a window seat, which usually I would never select for this 15.30 hour flight, however, my seatmate was a very nice young man who did not mind having to get up when I needed to move out of my seat. The service as always was excellent, I mean I have yet once to have a bad experience with service with this airline. The flight attendants were just wonderful and so pleasant. I obviously try not to become a pest but those times that I needed to interact with any of them in flight it was just very pleasant. The Premium Economy product is excellent, nice comfortable seat and all the amenities - blanket, pillow, head phone, sandals and toiletries. The IFE product, for me far more than I needed, ample movies and music, games and tv shows. On the music area it has a great feature that you can save lots of music to a play list and then you can listen to it. I listen to classical music while I sleep so I save tons of songs to the play list and listen for hours while sleeping. Food, always excellent, hot and tasty and always more than enough. The bathrooms are always clean and certainly you can see the flight attendants take care of the bathrooms numerous times during flight. All in all a great trip with a great airline.",Solo Leisure,Premium Economy,10,5,5,5,5,5,5,yes
eva air,G Lervanes,2020-02-02,"✅ Trip Verified |  Manila to Taipei. Very fast and efficient flight. There's just this air of professionalism from them I felt during the whole flight. Whether it's before the trip or during, it's so efficient that I'm using that word over and over again. Well trained and personable staff. Food was I'd say standard and IFE I don't even recall to really comment. Counter check in was smooth in Taiwan in our return flight but very long in Manila. Very good experience. What this special was we were able to get a very goo price because of a promo so it's probably one of the best value trips I've flown.",Family Leisure,Economy Class,9,3,4,4,,3,5,yes
eva air,Mark Saldanha,2020-01-29,"✅ Trip Verified |  Toronto to Chiang Mai via Taipei. I have flown with a lot of airlines since 1977 and I must say EVA Air is one of the best. Nothing is always 100%, however, EVA makes sure there are no surprises and that you are always informed. Download the app and you are always getting notifications - Online Checkin 48 hrs before, your baggage is loaded, transferred to next flight, gate number etc. They let you know if there is a delay and why and also provided refreshments. Lots of helpful ground and inflight staff. Inflight staff are always around and on their feet. Toilets are cleaned regularly(rare with other airlines I have used). Lots of legroom on the flights I was on. Food was good with options indicated on the menu. If buns are served they are actually soft and you can cut them and spread the soft butter provided. Unlike some other airlines that serve a hockey puck and frozen butter. Attendants are all very polite and helpful. My one complaint would be that they should use someone with good English speaking skills for announcements, on a couple of my flights the announcement was pointless, as it was unintelligible.",Solo Leisure,Economy Class,9,5,5,4,4,4,4,yes
eva air,Karen Flynn,2020-01-27,"✅ Trip Verified |  Harbin to Seattle via Taipei. Absolutely brilliant customer service - from check in at Harbin when they were having system difficulties, to arriving very late in Taipei, and not just getting me onto my connecting flight with NO minutes to spare, but ensuring my suitcase also made it. Ground staff in all 3 locations were fantastic and I am so grateful. Thank you for getting me and my luggage home after a very tiring work trip.",Solo Leisure,Economy Class,10,4,4,4,3,5,4,yes
eva air,Kevin Fletcher-Biles,2020-01-18,"✅ Trip Verified |  Bangkok to London. This is my 6th flight to Thailand with Eva. I no longer bother with Premium Economy as the Economy class is a very good product. Although the aircraft was over 10 years old it was smart and spotless, everything worked. The food and staff were excellent. Eva was a delight. Spacious, clean, all full service amenities offered down to a toothbrush & toothpaste.  The staff were great which altogether made for a very pleasant 12 hour journey.",Solo Leisure,Economy Class,9,4,5,4,4,4,4,yes
eva air,Y Gan,2020-01-13,✅ Trip Verified |  Taipei to Los Angeles. One of the best transpacific business class. Ground staff unloaded my luggage from the cart for me once I stop at the check in counter. Flight attendants were attentive but never made you feel disturbed. They just always showed up at the right time. Excellent wine collection is a plus. Highly recommended.,Solo Leisure,Business Class,10,5,5,5,5,5,5,yes
