airline_name,author,date,content,type_traveller,cabin_flown,overall_rating,seat_comfort_rating,cabin_staff_rating,food_beverages_rating,inflight_entertainment_rating,ground_service_rating,value_money_rating,recommended
hk express,S Murten,2020-03-03,"✅ Trip Verified |  Hong Kong to Siem Reap. We flew during widespread fear about coronavirus and the flight was underbooked: the plane was only about 1/5 full. Nonetheless, the crew insisted on squishing everyone together because this airline wants to charge extra to sit apart from one another, even when extra seats are available.  As we were about to land, the flight attendant blasted the cabin with some sort of aerosol spray, which I'm sure is totally going to make up for the fact that we were sitting next to someone who was coughing the entire time. Will not be flying with them again.",Couple Leisure,Economy Class,1,2,2,,,2,1,no
hk express,C Mejia,2020-02-18,"✅ Trip Verified |  Advertising looked enticing so I used HK Express from Hong Kong to Phuket Thailand for round trip. Seats were comfortable enough, buy on board was to be expected, and flight to Phuket was good. Coming was the nightmare. Was scheduled to leave at 11:50am the 14th of Feb 2020, but the flight got cancelled, okay I got the email about it on the 12th no big issue since I was checking out of my resort the 13th, I will just take 23:55 flight on the 13th - wrong, also cancelled. Numbers provided don't work people in Phuket airport info counter were trying to get a hold of someone to get the right number. Email response sent the 15th 3 days after the initial email was went - wow. Got to HK via Air Asia and asked for refund which the airline gave as option. Scanned some QR code got an email that the refund is being processed pending some criteria is met? they cancelled my flight enough said. I will be going to Thailand again soon and not with HK Express - avoid!",Solo Leisure,Economy Class,2,3,3,,,2,3,no
hk express,Chun Sing Poon,2020-01-27,"✅ Trip Verified |  Hong Kong to Osaka operated by A321. The sea is not comfortable and there is not headrest.  However, it is fine for budget airline and short haul flight. You need to pay for the food but it is acceptable because HK Express is a budget airline. Since the weather is bad, the plane suffered strong turbulence and became unstable. The plane suddenly decreased and many passengers felt panic.  The service from the crew is good, only thing that disappointed me is that the crew didn’t smile. The airline also sells the train ticket, this is definitely convenient.",Family Leisure,Economy Class,5,2,3,,1,3,3,yes
hk express,M Karjilit,2019-12-28,✅ Trip Verified |  Fukuoka to Hong Kong. I was not carrying my transfer permit document.  I managed to get the transfer permit document and showed it to the counter but they told to print it out and while I get the printout and it was just 5 mins late and they refused my boarding into flight.  They didn't tell me how to get the permit. I will not suggest this airline for anyone to avail of.,Solo Leisure,Economy Class,1,,,,,1,1,no
hk express,P James,2019-12-11,"✅ Trip Verified | Tokyo to Hong Kong. The plane landed safely and I would give them credit for that. The food I ordered was packaged in a cheap plastic container served as soon as we took off. I was expecting it to be dinner as the flight departs at 3 in the afternoon. Who orders a proper meal and eats at 3pm? I would say the majority would want their food to be served at dinner time. If I knew that I would have just brought a bento from the airport. Much better quality and cheaper. In addition to that, HK Express charged me HK$10 when I asked them to fill up my own bottle with water. No, despite the fact that I paid for U-first, a meal, and seat reservation. No they wanted $10 for tap water or else. It’s not that I really care about the money itself, but rather what if someone doesn’t have $ with them to pay for it, what if they don’t have a credit card with them while traveling (no, MasterCard debit doesn’t even work I tried. They take only credit)? Are you seriously just going to deprive of someone water that costs you next to nothing to give to them? For 5 or more hours? They know people can’t take water with them onto international flights unless you buy it after you get into the restricted area! Hence a lot of people don’t carry water with them. Luckily I had cash after their machine refused to take my travel debit. This is just pure corporate greedy over basic human necessities. I have never seen any airlines this greedy for money and would go to the extreme to charge people for tap water. Not bottled, tap! I wouldn’t be surprised if they started charging people to use toilet too. Look, if you are that greedy for money, at least price it into your tickets instead of charging people on the flight and slap them with a charge like this mid-flight alright? They are literally the worst airlines I have flown with. Yes that includes budget airlines. If you want cheap tickets, sure, just be prepared to bring everything with you including water. How are you going to get water through securities you ask? Well, you better figure out a way.",Solo Leisure,Economy Class,1,1,2,1,1,2,5,no
hk express,JJ Lim,2019-12-11,"✅ Trip Verified | For a budget carrier, HK express is just about the best you can get. Do not expect frills, but they use new planes with new seats which are ergonomically designed and offer a reasonable amount of comfort and legroom while still being able to maximize revenue for the airline. I have flown several other routes other than this, namely HKG-FUK, HKG-CNX, HKG-BKK and HKG-HND and their service standards are consistently decent too. The cabin crew, despite representing a budget carrier, maintain the best of professional standards and carry the corporate image very well. HK Express boasts of a very extensive flight route network to various parts of Japan and that is another of their biggest competitive advantages. That said, their network around the rest of Asia is very respectable too.",Couple Leisure,Economy Class,8,4,5,,,4,4,yes
hk express,S Wong,2019-11-19,"Not Verified |  Osaka to Hong Kong. Because my airline messed up my flight I had to buy a last minute ticket and went with HK Express. Well, in terms of service, it was fantastic. I didn't have to wait in line so I can't comment but what airline doesn't have lines ups. The flight departed on time and I did not encounter delayed/lost baggage. At the same time my niece was flying HK Express in another city and it went smooth in every aspect. I wouldn't hesitate to fly them again. For flights longer than an hour it would be nice if they could service a beverage and the option to order food.",Solo Leisure,Economy Class,8,4,3,,,5,4,yes
hk express,Suzanne Walmsley,2019-10-22,✅ Trip Verified |  In June 2019 my husband and I flew from Angkor Wat International Airport to Hong Kong with the carrier Hong Kong Express - Flight UO707. It was supposed to leave at 17.55 but we were nearly 2 hours late departing due to the plane not arriving in time because of bad weather in Hong Kong. When we finally arrived in Hong Kong close to mid night we found that my suitcase on the carousel had been tampered with but as I couldn't think at the time of anything that had been stolen apart from a grey baseball cap I did not report it. I notice that the zip was partly undone and the outer luggage strap was loosely tied on to the handle only. On checking the contents when I got to our hotel I notice that my wallet which was hidden originally at the bottom was now on top and open and the middle compartment also unzipped. As I had taken all my credit cards out previously I only had library cards and shop loyalty cards in it and they had not been touched. Also the coins in the side compartment had not been taken even though that zip was undone too. However a week later on remembering that I had put my wedding rings in the middle zipe of my wallet due to my fingers swelling in the head I immediately contacted the airline but to now avail and I am unsure now how to proceed with no communication forthcoming apart from one that said the CCTV footage revealed nothing. I have informed them that I am aware that 6 baggage handlers were arrested recently for theft but have not received a reply. I am deeply upset at my insurance declined to reimburse me as goods of value should have been with my carry on luggage.,Couple Leisure,Economy Class,1,3,3,,,1,1,no
hk express,P Robertson,2019-10-12,"✅ Trip Verified | Hong Kong to Osaka. Shocking experience just does not feel like an airline who concerns about the safety of its customers. We were due to fly to Osaka for a weekend trip on the 11th of October 2019, due to a super typhoon due to hit our destination on the 12th of October we feared for our personal safety and not being able to return home on the 13th of October. Hong Kong Express refused to assist us with re-booking our flight, we even stated we where happy with applicable fees and fare differences. There where already travel warnings in effect from numerous governments and other airlines were already offering free changes of flights irrespective of ticket class.",Couple Leisure,Economy Class,1,1,1,,,1,1,no
hk express,Jason Tsang,2019-09-26,"✅ Trip Verified |  
There are a number of airlines that fly the Hong Kong to Seoul route, but HK Express were the cheapest and had a website that was user friendly. The flight was prompt and efficient. The staff were pleasant and professional. The experience was as good as Cathay Pacific, but without food, drink and entertainment. I really can't fault them. The HK Express staff at Seoul were excellent. I manage to forget that the WiFi egg I hired was in the checked baggage. They helped me by taking the bag out and allow me to retrieve the item. Which they returned on my behalf. Very nice and gone out of their way to assist. I will definitely fly with HK Express again.",Solo Leisure,Economy Class,10,5,5,5,,5,5,yes
