airline_name,author,date,content,type_traveller,cabin_flown,overall_rating,seat_comfort_rating,cabin_staff_rating,food_beverages_rating,inflight_entertainment_rating,ground_service_rating,value_money_rating,recommended
jetstar airways,Saul Geffen,2020-05-06,"Not Verified |  Brisbane to Melbourne. Just like everyone else on here. Voucher for 840$, can't use it. If you even bother to read this in Jetstar HQ, you have ripped me off. Never again you only got a 1 out of ten because I cant give you zero.",Solo Leisure,Economy Class,1,1,1,,,1,1,no
jetstar airways,E Marcerios,2020-05-05,"✅ Trip Verified |  My friend and I were travelling to Vietnam. We were trying to be cautious and followed Smart Traveller (official governement information published in regards the safety of the traveller) which clearly indicated not to travel and decided not to risk our health and request a voucher. But the problem is that we can't use our vouchers in the future as I am no longer there and my friend will be leaving very soon. So, a voucher doesn't make sense. And we don't want a voucher. We need our money back. We have explained them several times. It is a real shame how they have treated us (my friend, really) on the phone, trying to make us look like fools, trying to make us finish their endless calls with hours put on hold, telling us they would call us back and didn't do it.  We are never again using Jetstar.",Couple Leisure,Economy Class,1,,,,,,1,no
jetstar airways,Chris Pokrzywa,2020-04-27,"✅ Trip Verified | I'm absolutely appalled Jetstar is not willing to issue a refund for our flight. We're currently required to shelter in place for our own safety during this world pandemic. Not to mention many of the international borders are closed and we're unable to fly. Yes, we're all affected by this pandemic, and I understand the airline industry is hurting, but don't attempt to profit off of your customers who aren't even able to utilize your services. Issuing your customers a voucher that expires within 6 months is not acceptable. It's not like we can just put our life on pause and travel whenever we wish. These trips take a ton of planning and coordination to pull off, and the fact Jetstar is unwilling to empathize with their customers during this difficult time is a perfect example of the kind of company that puts ethics to the side in order to benefit themselves for the short-term. Disgusting.",Couple Leisure,Business Class,1,1,1,,,1,1,no
jetstar airways,Caryn Jervis,2020-04-21,"✅ Trip Verified | Extremely poor customer service and attempting to profit off a pandemic! My experience with Jetstar has been completely sub optimal. My flight has been cancelled - and despite multiple attempts and hours and hours waiting for live chat or email response, they finally get back and say they can only provide a voucher. This is really a weak offering given every other airline for my trip provided refunds with no questions asked. Then, the most laughable part of all - their voucher is only valid for 6 months! They refuse to adjust the policy. How am I meant to plan and book a trip in the next 6 months with this level of uncertainty and borders being closed? They are trying to gauge passengers. It's despicable. I will never fly Jetstar Airways and I will ensure that my friends, family and community are advised of this behavior. Do not support such a crooked airline. Its businesses like these that deserve to go under during these times, all of my support will go to airlines that also did their best to service their customer and meet needs and expectations. I will be happy to book time and time again on those other airlines.",Solo Leisure,Economy Class,1,1,1,,,1,1,no
jetstar airways,A Gurten,2020-04-15,✅ Trip Verified |  I am very disappointed with  Jetstar. I am requesting a refund for the canceled Brisbane to Melbourne flight ($ 610) the day after I booked it. Jetstar offers me only a voucher that I cannot use. I am returning to my country on Thursday and have no other flights available before this day. They don't want to hear anything. Jestar is taking advantage of these times of crisis to rip off people.  Shame on you.,Family Leisure,Economy Class,1,,,,,1,1,no
jetstar airways,P Stein,2020-04-15,"✅ Trip Verified |  I’m very upset with the customer service I received. I booked a flight through Jetstar for the first time to fly from Hawaii to New Zealand and because of Covid-19, Jetstar has to cancel my flight to New Zealand and gave me a voucher instead of a returned payment. During these hard times where I am currently out of a job and trying to pay my rent, I called to see if I could get a refund and had very poor customer service. The man I spoke with continuously talked over me and said it’s a non refundable ticket. I booked with Hawaiian airlines for my return flight which was also non refundable and they gave me a full refund because THEY had to cancel my flight. It is the right thing to do and I will never fly with this airline. People are in need of money right now. The right thing to do is return people’s money when Jetstar has to cancel my flight due to border closures. Terrible, terrible company.",Solo Leisure,Economy Class,1,,,,,,1,no
jetstar airways,Corinne Mawson,2020-04-13,Not Verified |  The most disgraceful airline. Cancelled our flight altogether coming out of Nadi to Sydney. Expected us to accept a flight 2 days later. Incurred 1000’s of dollars more rebooking with Virgin and last minute. Do not fly with the company. Getting a refund is near impossible and when you do they tell you they will take a month to give you your money back. Disgraceful JetStar!,Family Leisure,Economy Class,1,1,1,1,1,1,1,no
jetstar airways,Victoria Scott,2020-04-13,"Not Verified |  Perth to Gold Coast. The tray table was clean, as well as the seat, windows and lavatory. Although, there was food and gum stuck to the floor. Before the flight, I had to wait in a giant queue to get my baggage weighed, even though I wasn't purchasing extra baggage. There were machines that were supposed to weigh the bags but they were not working. Both pilots managed to do nice smooth landings. For the price, it was a great experience and I'll definitely fly Jetstar again.",Family Leisure,Economy Class,7,3,3,,,2,4,yes
jetstar airways,Michael Kaindl,2020-04-12,"✅ Trip Verified | Adelaide to Bali via Sydney. The flight was cancelled by Jetstar, but they refused to refund it and gave a (useless, since I won't come back to a region where Jetstar flies in the next years) voucher instead. Very bad experience, non-existing support, 'chat-robots' that (if you should reach out for one) only say 'we are sorry but we can not change anything'.",Couple Leisure,Economy Class,1,1,1,,,1,1,no
jetstar airways,Jan Smith,2020-04-10,Not Verified |  Adelaide to Melbourne. Hadn't even got on the flight yet and was immediately regretting choosing to fly with jetstar. Staff where horrible and condescending. Was reluctant to help you check out bags but as soon as it came to weighing the they were straight over I can only presume that’s because they saw a cash grab opportunity. Most airlines let you have a on board bag and a handbag we were made pay $50 each. The staff were Like a gang of mean girls and have left a very sour taste in my mouth will never fly with them again !,Family Leisure,Economy Class,1,2,1,1,1,1,1,no
jetstar airways,S Allen,2020-04-03,"Not Verified |  Really happy with the 12 month voucher policy of Jetstar. It offers great flexibility without sinking the airline and it was really easy to request online, came in a few days later.",Couple Leisure,Economy Class,8,2,3,,,4,4,yes
jetstar airways,P Barter,2020-04-02,"✅ Trip Verified |  Gold Coast to Sydney. A very disappointing experience. Expect condescending staff and opportunistic cash grabs wherever possible. In this case it was $130 to pay for 2 bags (1 per person) that were slightly overweight. They have the scales there ready to go Just before you board the plane and this is despite the check-in baggage allowance being 20kg and therefore no overall additional burden on the aircraft whatsoever. Add to this staff talking down to you like a child! Additionally, this was a return flight - the initial flight was with the parent carrier (Qantas) where a different weight limit applies, despite both flights appearing on the same ticket and under a Qantas letter head. ",Couple Leisure,Economy Class,1,1,1,,,1,1,no
jetstar airways,K Carroll,2020-03-31,"Not Verified |  This company should be offering refunds not vouchers during the Covid-19 crisis. Beware: They also change your flights without notifying you. Even once the flight is cancelled, they only offer a voucher. They trick their customers out of a refund in which they are entitled to. If you call them to discuss your options, be prepared to be on hold for minimum 4 hours before being disconnected. They give a short deadline to accept a voucher, expecting a decision without being able to discuss your options with them, as they give not other option but a voucher. Eventually, I got through to them via Messenger. It was like talking to a robot. They repeat their phrases as if it is scripted. Terrible customer service, just another greedy company. Zero stars.",Family Leisure,Economy Class,1,,,,,,1,no
jetstar airways,P Steale,2020-03-28,"✅ Trip Verified |  Melbourne to Sydney. Really bad experience start to finish. They offer 20 flights a day, then cancel 90% of them not offering immediate other options in hope that people dont apply for refund. Was only able to get another flight because I paid extra, food was also canceled despite I paid extra on it when I booked. I added another big bag and a carry-on. Was 2kg over with my carry on because I had a handbag with me. Had to pay $65 dollars extra. Staff was nice but the company policies at such times are just unacceptable. Won't fly again with them.",Solo Leisure,Economy Class,3,1,3,1,,2,2,no
jetstar airways,Caryn Jervis,2020-03-26,"Not Verified |  Bali to Melbourne. Awful customer support in dealing with COVID-19. They should be offering full refunds to their customers during this time, not trying to capitalize via voucher. I begrudgingly must take a voucher that I never will be able to use again and therefore, I am the one who loses in this situation.",Solo Leisure,Economy Class,1,,,,,,1,no
