airline_name,author,date,content,type_traveller,cabin_flown,overall_rating,seat_comfort_rating,cabin_staff_rating,food_beverages_rating,inflight_entertainment_rating,ground_service_rating,value_money_rating,recommended
myanmar national airlines,Michael Schade,2019-05-13,"✅ Trip Verified | Singapore to Thandwe via Yangon with Myanmar National Airlines. This was a very pleasant experience. All flights ahead of time, great service and food, super friendly flight attendants. Both, the domestic and international terminals in Yangon are modern and well organized. Overall, highly recommended!",Solo Leisure,Economy Class,10,4,5,5,,4,4,yes
myanmar national airlines,Thomas van Woerkom,2019-03-21,"✅ Trip Verified | Yangon to Heho with Myanmar National Airlines. Booked a flight with them for an hour flight for approx. 62 usd. Check-in had to be done via check-in counter for domestic flights, which was chaotic and slow as people did not really stay in line. Boarding was done by bus and should have happened at the exact same time as another flight to Loikaw, but our flight was already delayed by about 40 minutes. Boarding went quickly however and noticed that ground staff placed us at an emergency exit, lots of legroom. Flight itself was 40 minutes or so with a complimentary drink and snack service. Ordered coffee, received tea. My girlfriend ordered water, received sprite. Upon landing, walking to terminal where we received a passport control (domestic flight) and luggage was dropped in a room via windows. No belt available. Despite the delay, I had an excellent flight.",Couple Leisure,Economy Class,8,5,3,4,,2,4,yes
myanmar national airlines,G. Stoykovich,2018-12-28,"✅ Trip Verified |  Loikaw to Yangon. Quick, efficient, professional, and smiling! It is enough to arrive at Loikaw airport 45 mins before departure, as the ground crew does a thorough check-in and control manually yet quickly. Plane slightly late landing, passengers and bags deplaned quickly, plane loaded and off we went in no time. During a flight of less than an hour we even got a small breakfast (2 sweet pastry) a hot and cold beverage, landed, deplaned and our bags arrived within minutes at the carousel. We even got a spectacular view of the mountains and winding rivers below in the morning sun. I do not remember when was the last time a flying experience was unhurried, non-stressful and enjoyable.",Couple Leisure,Economy Class,10,5,5,5,,5,5,yes
myanmar national airlines,Wai Lynn Htun,2018-10-04,"✅ Trip Verified |  Yangon to Mandalay. Aircraft type changed from Boeing 737 to E jet Flight time changed. (My last flight) In September, flight schedule changed without notice and so I have to buy new ticket with new airline. It seems they don’t have enough aircraft but sell the ticket. So they arrange the schedule accordingly. So not convenient, not recommended for the passengers with important or fixed schedule or travel.",Business,Economy Class,1,3,3,,,1,1,no
myanmar national airlines,M Andrews,2018-06-11,"✅ Trip Verified | The flight was about one hour and yet the flight attendants managed to hand out refresher towels, then they gave each passenger a snack box and on the the third service round, each passenger was given a drink. All this was done unhurried, with poise and a smile. Such an unexpected level of 5-star service. In addition, boarding was on-time, flight departed and arrived on time. What a great airline.",Family Leisure,Economy Class,9,4,5,4,,5,4,yes
myanmar national airlines,E Draviti,2017-12-26,"✅ Trip Verified |  Heho to Yangon. The aircraft was pretty new and very clean. We have been greeted with a smile and the personnel was kind and professional. We have been served some basic breakfast, that for such a short flight was appreciated. Flight on time and overall very comfortable and enjoyable experience.",Solo Leisure,Economy Class,8,4,5,3,,3,4,yes
myanmar national airlines,Min Htet,2017-12-08,"✅ Trip Verified |  Yangon to Mandalay. Lounge photo and In flight meal photo are added. We can access Lounge at Yangon International Airport for all Business Class traveler, variety of Breakfast. Lounge is located at the 3rd floor of Yangon International Airport Terminal 3 for domestic. In flight meal is great but simple because it is just a 1 hour short flight.",Solo Leisure,Business Class,10,5,5,5,5,5,5,yes
myanmar national airlines,Even Nordhagen,2017-06-06,"✅ Verified Review |  Singapore to Yangon. I didn't know what to expect when I booked this flight, but I don't regret. The airplane was clean, staff was friendly and food was good. Also a lot of space for the legs, good entertainment and opportunity to charge phone/tablet. In the Emirates/Garuda league in my opinion.",Solo Leisure,Economy Class,10,5,5,5,5,5,5,yes
myanmar national airlines,A Green,2017-05-05,"✅ Verified Review |  Very happy with my trip, I flew from Bangkok to Mandalay on Christmas day. Flight was on time. Staff were polite and the aircraft was clean. The service is much better than I was expecting (snacks, free luggage) given the price and how bad and expensive low cost European flights have become. I would definitely recommend flying Myanmar National Airlines.
",Solo Leisure,Economy Class,10,4,5,4,,4,3,yes
myanmar national airlines,F Marks,2017-02-05,"✅ Verified Review | Flew the quick 45 minute flight from Thandwe (Ngapali Beach) to Yangon with Myanmar National Airlines. New ATR 72-600, and it was a pleasant experience. As soon as cruising altitude was reached the flight attendants moved quickly down the 2-2 cabin with pastries, then returned to serve tea/coffee, with lollies during descent. Expensive for a short flight, but an enjoyable experience. After two domestic flights in Myanmar with two carriers, would have no problems recommending.",Couple Leisure,Economy Class,8,4,5,4,1,2,2,yes
