airline_name,author,date,content,type_traveller,cabin_flown,overall_rating,seat_comfort_rating,cabin_staff_rating,food_beverages_rating,inflight_entertainment_rating,ground_service_rating,value_money_rating,recommended
scoot,Paul Morel,2020-05-01,"Not Verified |  Returning as cheaply as possible Perth to Bangkok. Booked 2 weeks before the flight on 17th, COVID-19 was already disrupting transport, Singapore was days from closing Changi, and Thailand obviously close to closing BKK and I was using visa exempt so concerned. No problem at check in, flight left on time, guess 15% full. I regard Scoot as really too good for a cheapo, seat is same as full service airline, of course no drink, food, entertainment, and only 10kg but I pay to be transported. In Changi told that flight SIN to BKK was consolidated 4 x 320 into 1, so an 8 hour delay, a potential refund was mentioned but no use to myself to be stuck in Singapore. Good flight 320 to BKK about half full and on time and allowed into Thailand, phew! BKK empty, through immigration and in taxi before ETA. Actually better than usual good Scoot flights as flight crew not so insistent of pushing expensive food, coffee, drinks, guess they were all on notice, I wish them well and base my 10/10 of their consolidating my flight as driven by economic necessity. Hope they survive and in a similar way.",Solo Leisure,Economy Class,10,4,2,,,5,5,yes
scoot,Constance Crampton,2020-04-26,"Not Verified |  We have used Scoot before and highly recommended them previously. Now with our cruise cancelled we have firstly asked for voucher refund to use later this year. As with the uncertainty of travelling this year we emailed for our cash refund instead. No response, we only got ""we will get back to you within 10 working days"" - nothing!. A phone call to them 1 month later and after 40 minutes of back and forth on hold with customer service we were told no you cannot change it. We asked for reasoning and to have a response in writing as verbal communication was difficult, and nothing .. so disappointing that they treat previous clients this way!",Couple Leisure,Economy Class,2,,,,,,1,no
scoot,Mick Tobor,2020-04-15,"✅ Trip Verified |  On our way to Bangkok airport we received a voucher for the cancelled flight home!  A new internet booking for 9.000 baht isn’t possible, instead we have to buy an overpriced ticket for 21.000 baht. After buying the ticket they didn’t want to let us fly! We showed an email from the Greek ministery of foreign affairs giving green light for my wife - and they checked us through to Athens. In Singapore Scoot denied boarding to my Korean wife (not me). we tried to show the mfa email, they didn’t want to see it. The boarding staff sent us to Transfer D: „there’s a Scoot office“ taking care of everything and they will help us. But in transfer D there’s just a night staff, who can’t do anything for us and many other Scoot nightmare guests.  No service, no food, no water, no help at all. Our luggage is not available - it’s behind immigration . If we go out, we’ll be quarantined for 14 days. The Scoot manager is kidding us: We need a medical certificate, we would get it in a clinic nearby. But this clinic doesn’t test anyone - and the manager should know it.  No flight money back! The manager was generous enough to give us the flight to Bangkok instead of Athens. Since march 20 Scoot didn’t refund anything, doesn’t answer emails.",Couple Leisure,Economy Class,1,,,,,1,1,no
scoot,T Gan,2020-03-20,"✅ Trip Verified |  Melbourne to Hong Kong via Singapore. Scoot cheated me I bought ticket 4 months ago. It consists 2 flights depart on 19 Mar 2020, the 2nd connecting flight is from Singapore to Hong Kong. I checked again iternary on 18 Mar night, this 2 flights were confirmed. But early i arrive airport to check-in, staff told me the 2nd flight to HK has been cancelled and seem they can cancel flight any time with no advance notification and no valid reason. The Scoot manager in Melbourne airport was unhelpful only saying flight cancelled and insist cannot offer alternative/solution,  and said no next Scoot flight to HK in coming days, Scoot can take me to Singapore only or can get refund.  I paid for the whole journey, Scoot has moral obligation to fulfill Client's requirement or solve their created problem. Strongly advise not taking Scoot despite some cheap sale ticket as cannot compensate your loss in the end.",Solo Leisure,Economy Class,1,,,,,1,1,no
scoot,Francis Wong,2020-03-13,"✅ Trip Verified |  Due to severe reduction of flights from Singapore to Hong Kong because of CoVid-19, I could not choose to fly with my favourite: Singapore Airlines, all their afternoon flights have been cut. I was left with the only reasonably priced option: Scoot. For today (Mar 12th), their 787 was deployed, and I was rather curious and looked forward to trying it. I had problems with check in at their computer kiosk, was directed to the assistance counter to complete my check in. The lady was not friendly nor very helpful. Never mind, hopefully the flight experience will make up for it. For today, no meals or duty free will be available to purchase. Instead, each passenger was given a bottle of water and a packaged croissant. I was sat the the so called quiet zone, load factor was very low, they still insisted to sit a lady in our seat of 3, where she could have any other seats (all 3 to herself!), not her fault but the airlines. The thing to do would be to move to another empty to give her more room (and myself), I was not allowed to. I was told due to the virus situation, passengers must not move to any seats for tracing purpose later if necessary. As a result, all 3 of us squeezed onto 6 D,E and F, endured a very uncomfortable flight, inside a 30% full cabin, thanks to the cunning arrangement of the check in agent. I had to take Scoot because I had no other choice, and they did not show me that flying with them had any benefits, besides the low price. 787 usually is very nice plane, but when it becomes a Scoot plane, it looked cheap and tattered everywhere, with very tight seat pitch, cabin crew were so so, doing the bare minimum. I dread to think how people endure long haul trips withe them from Singapore to Athens and Berlin in that same aircraft?!",Solo Leisure,Economy Class,4,1,2,,,1,3,no
scoot,D  Charkova,2020-03-06,"✅ Trip Verified |  Bali to Tokyo via Singapore. I had the worst experience during check in at Bali international airport. I was flying back home using 2 different airlines, no baggage, terminals I fly in is the same I fly out, all airports I fly in have transit zone.  The employee of scoot refused to give me my boarding pass cause I did not have visa to Japan, I did not need visa in this case I could easily transfer to my next flight without leaving the terminal. After asking him for a while to verify everything he was just sitting there and replying all the same ""I cannot"" . I asked to give me my boarding pass only to Singapore and he told me I cant get it as well cause I need flight back and if I buy a new ticket in front of him he can give it to me otherwise I wont get anything and simply losing all my flights. I asked for a manager and he refused to call the manager or somebody, I asked to provide me a complaint form and he refused to do so, he refused to give even a phone call to somebody who knows more then him.  All I wanted is to go home and not being stuck in Indonesia. Somehow I was able to get my boarding pass to Singapore from other agent who was very nice an understanding, she checked everything and verified that I actually can get my boarding pass. Thanks to other employee I was able to fly home without problems. As a company who are involved in international flights every employee should be familiar with every aspect of international travels. It is very serious for many people to be where they need to be on time. Please make sure your employees are not refusing people boarding passes and please be more understanding even if you are a budget airline.",Solo Leisure,Economy Class,2,3,3,1,1,1,3,no
scoot,H Andrews,2020-02-27,"✅ Trip Verified | My first time flying with Scoot having read so many negative reviews for this airline. I found a great deal one way to Bangkok and just couldn't resist, so I took a chance. Around 200 AUD one way. Overall my experience was not too bad. If you expect something fancy from this budget airline, you have to ask something, what is important? Is comfort important or simply getting from point A to B? I chose the latter. Most of the time I took a nap while listening to music, so I wasn't in too much discomfort. Leg room was decent. My advice bring your own pillow if you have trouble sleeping on the plane. Overall Scoot did the job. This isn't Singapore Airlines in any manner. If being economical is important for you, give Scoot a try.",Solo Leisure,Economy Class,7,3,3,,,5,5,yes
scoot,Satpal Singh,2020-02-23,"✅ Trip Verified |  My flight from Amritsar to Singapore was late around 7 hours. None of passengers were informed. End up missing my second flight Singapore to Sydney, at airport I was told that my next flight is after two days.  End up buying another ticket with Malaysia Airlines via Kuala Lumpur. Cost me another $1200. Made a complaint, no return my call.",Solo Leisure,Economy Class,1,1,1,,,1,1,no
scoot,Daniel Nel,2020-02-19,"✅ Trip Verified |  Taipei to Singapore. Have been calling the Contact Centre for 2 weeks, each day being put on hold for over an hour, to refund my upcoming flights due to the outbreak in CoronaVirus. I informed them that i have travelled through Hong Kong recently and they don't want to help at all. What i get told is that my flight from Taiwan to Singapore i can't get a refund for, but the flight from Singapore to Taiwan i could possibly get a refund. I have logged 3 requests, with supplying all relevant documentation and haven't received any call backs. Instead i need to call every day to find out the process, where i get told something different every day. But at the end not willing to help at all. This is the last time i will consider flying with Scoot.",Solo Leisure,Economy Class,1,,,,,,1,no
scoot,M Han,2020-02-15,✅ Trip Verified |  I am a Macau SAR passenger who had purchased Scoot ticket flying from Taipei to Sapporo. Due to Coronavirus  situation in our Country  we were banned to travel to Taiwan by Taiwan Government. We were unable to take Scoot flight to CTS. We requested refund / defer our tickets due to this uncontrollable situation but after several emails we were being informed Scoot will not provide any assistance to this situation. Other Airlines (Air Macau MFM-TPE & Jetstar CTS-NRT ) had accepted our refund request and would process shortly. ,Couple Leisure,Economy Class,1,,,,,,1,no
scoot,G Pargeer,2020-02-15,✅ Trip Verified |  Amritsar to Singapore. Worst experience with ground staff. They were very unprofessional. They stop me for me for carrying extra 2kg. Want me to pay 2100 Rs cash only. Ground staff guy  very rude and arrogant. Scoot really need to retrain them. Teach them how to treat customers.,Family Leisure,Economy Class,1,1,1,1,1,1,1,no
scoot,Brett Gore,2020-02-15,"✅ Trip Verified |  Sydney to Singapore. We flew Scoot Airlines Scoot Plus cabin. This used to be called Scoot Biz but they changed it because of too many complaints that it was nowhere near business class. It is really a Premium Economy product at a budget price. You also get designated check in, priority boarding and disembarkation. There are negative reviews of the Scoot Biz or Scoot Plus product. You get what you pay for. The ticket price if you are doing a return trip is not much more than economy on full service airlines and much less than any premium economy tickets. The seats are fabulous, 20 inches wide with 38 inches leg room and 6 inches recline just like most premium economy airlines. However, you need to bring your own entertainment or device and can purchase extra wi-fi. You get one meal and drink on this 7 hour flight. Sadly, the food is not great. This is the downside. It is what we would call TV dinner standard and portion size. You can bring your own snacks, no problem but have to purchase their drinks. Overall, highly recommended over any economy or premium economy product, except for the food.",Couple Leisure,Premium Economy,8,5,4,2,,5,5,yes
scoot,Anurag Prasad,2020-02-13,✅ Trip Verified |  Singapore to Penang return. Worst Customer support I have experienced with any airline. I had to cancel my tickets due to the coronavirus outbreak. After trying multiple times and waiting for more than an hour on the line I was never able to get through to their customer support staff. Extremely disappointing and poor service.,Business,Economy Class,1,,,,,,1,no
scoot,Cassandra Seah,2020-02-12,Not Verified |  Hong Kong to Singapore. Scoot refuses to refund me my money after rescheduling my flight by more than 8 hours. I've called multiple times but have been put on hold and eventually not getting a reply. Feels like I've been made a fool. I have also emailed many times and not get a reply. What is happening? Is this a strategy to prevent losses?  How can we get a response and a refund?,Business,Economy Class,1,,,,,,1,no
scoot,Ash Raf,2020-02-11,Not Verified |  Krabi to Singapore. I approach the counter staff regarding my powerbank have been confiscated by the gate staff. They put the blame on me as they just told me the powerbank without any capacity on it is not allowed on the plane. And they say its the rule of the Krabi Airport but they never put any indication regarding this until i walk pass the gate staff. Its not fair for me and the counter staff is ignoring me.,Couple Leisure,Economy Class,2,1,5,,,1,1,yes
scoot,Tammie Tan,2020-02-08,"Not Verified |  Singapore to Perth. Awful customer service. Awful food, so overpriced, but portion so small and Nasi Lemak was filled with sweet sauces rather than actual ingredients. Seat had a missing recliner button, and when I sent in feedback all I was told was they ""checked and there was nothing wrong with the seat"". Insinuating that I was making things up, instead of giving me the benefit of the doubt. Very interesting how this could be when the button as missing from the seat! I even sent in a photo of the evidence showing the button missing. They ignored my e-mails thereafter even though I repeatedly e-mailed to ask for a follow-up. They clearly do not value customer service, so I will be switching loyalties.",Solo Leisure,Economy Class,1,2,2,1,1,2,1,no
scoot,J Martin,2020-02-05,"✅ Trip Verified | Flight TR-019 was scheduled to depart from Melbourne to Singapore at 1.20 pm AEST on the 3rd of February 2020. Due to technical issues they made us stay inside the aircraft while they were working on the issue. For the first, one and a half hours to about 2 hours, the air conditioner was not working, when asked the attendant informed they were experiencing some technical issues. Upon seeing passengers uncomfortable and some literally sweating, they called in technician and set it up. The entire process took about 5 hours and we waited patiently only to be told Melbourne authorities had given a red flag to depart and that we are to disembark only to start the process of standing at the counter all over again. We had to go through immigration and back to check in counter. Now the representatives knew there was another flight flying at 10.30 pm AEST and so their priority was to check-in passengers boarding that flight, while leaving 225 passengers (as told) from cancelled flight stranded at the airport waiting in long queues unattended. I had to wait for 5 hours and 45 minutes for my turn (not even exaggerating). Though I was given two options (if I wanted to take the flight), both the options were delayed by more than 24 hours. What is shocking is that there was a similar incident by the same flight TR-019 just a week before on the 27th of Jan 2020 to be exact. They had to cancel the flight due to technical issues. ",Solo Leisure,Economy Class,3,3,2,,1,1,1,no
scoot,Neil Alexander,2020-01-30,"Not Verified |  Singapore to Manila. The flight I never had, due to the Taal volcano eruption I decided the day before to cancel my flight. I had purchased a meal and an extra seat for more space. I was told sorry no rebooking and no refund - nothing so sorry. The Scoot call centre was obviously trained to say sorry and nothing else and offered no more information. To add insult to injury they would not even refund my meal which I never received same with my over $100 extra seating. I have low expectations for budget airlines but this was plain robbery.  I will never fly them again.",Business,Economy Class,1,,,,,,1,no
scoot,Y Han,2020-01-29,"✅ Trip Verified |  I took Scoot on a return flight from Melbourne to Singapore. There's no in-flight entertainment, but this is acceptable given that it's a budget flight. What is unacceptable is the lack of cabin service. On the first flight, I was told by a crew member that no outside food was allowed. This is unreasonable as I have strict dietary requirements and could consume none of the main meals offered on board. None of the other airlines that I have flown with have ever picked an issue with passengers bringing their own food on board. I tried to buy a packet of nuts with my debit card but the crew first rejected my debit card, and asked for cash or credit card (which I had none), without giving any reasons. Only after I asked for the reasons that I found out that there is a limit of $20 spending on debit cards and they are phasing out debit card payments. I'm certain this wasn't made known to passengers prior to boarding. This is terrible for passengers on long haul flights who aren't aware of this limit, on top of the fact that Scoot does not allow outside food or serve water for free. The return flight was dismal. I had paid for a seat upgrade but found out that my seat could not recline as the button had dropped out. This was obviously a problem that the airline had previously known of, as there was duct tape around the sharp edges around where the button would have been. I highlighted this to the a cabin crew and her response was ""oh ya, doesn't work. Sorry about that"" and tried to walk off! I had to ask if there was a replacement seat, and (of course) there wasn't any in the same seat class. The cabin crew also talk over passengers to each other across the aisles and can come across as quite curt in their instructions / responses to passengers. I get that Scoot is trying to create a young and less formal vibe but there needs to be more courtesy in the way the cabin crew treat passengers. It is honestly quite embarrassing that Scoot is a subsidiary of Singapore Airlines, which prides itself on its high standards of service. I love flying on Singapore Airlines and think that they could do with more staff training for Scoot.",Solo Leisure,Economy Class,1,1,1,1,,1,1,no
