airline_name,author,date,content,type_traveller,cabin_flown,overall_rating,seat_comfort_rating,cabin_staff_rating,food_beverages_rating,inflight_entertainment_rating,ground_service_rating,value_money_rating,recommended
swoop,Abdullahi Dawud,2020-06-05,✅ Trip Verified |  Edmonton to Hamilton. I was 5 minutes late for my flight departure at 3:10pm. The told me we can’t get you in.  I ask for tomorrow flight they told me to buy another ticket.,Family Leisure,Economy Class,1,,,,,1,1,no
swoop,Tiffany Nguyen,2020-05-02,✅ Trip Verified |  Abbostford to Hamilton on 10 April. I just flew swoop 4 times in March. Everything was smooth. I'll definitely fly with them again. It's a budget airline but no complaints whatsoever. Looking forward to my next flight in May 2020.,Family Leisure,Economy Class,10,5,5,,,5,5,yes
swoop,Greg Scott,2020-04-30,"Not Verified |  Got my flight to Winnipeg. Originally  was suppose to go back home in may 27th. About a week in to my trip I received a message that my flight was cancelled. I was forced to move to june 1st. This didn't work for me but I had no choice. They gave no explanation at all. Today April 29th, 2020, I got another message that my rescheduled flight was cancelled again and I can take the same day flight but instead of direct and a 2.5 hour flight it goes to a transferred flight and a 10 hour flight. Unbelievable. So I thought I would call. No! If you want to speak with some one it costs $15 plus taxes to call. ",Family Leisure,Economy Class,1,1,1,,,1,1,no
swoop,Penny Mckelvie ,2020-04-21,"✅ Trip Verified |  Our flight between Edmonton and Los Cabos was cancelled by Swoop in January 2020. Swoop emailed stating that if we re-booked with an alternate carrier they would reimburse us. Four months later we are now being told that because we did not re-book with Westjet (the only approved alternate carrier) we will not be reimbursed. Their email specifically states that we can book with an 'alternate carrier'. It does not say that the alternate carrier had to be Westjet, yet that is why we are being denied our refund. This company is unethical and cannot be trusted.",Family Leisure,Economy Class,1,,,,,,1,no
swoop,E Smith,2020-03-30,Not Verified |  We used to really like flying with Swoop but Our return flight was Scheduled Mar 23 2020 from Orlando to Edmonton but due to the Coronavirus and government saying to get home in case the borders get closed we decided to reschedule a return to Edmonton on Mar 16. We could not get a hold of anyone at Swoop for any advice as to what to do - just a recording saying they were too busy to take calls not even a option to leave a contact phone number to have them call me back. I ended up paying over $600 for 2 of us to get back to Edmonton. Now our regular tickets that were for Mar 23 are lost with no option even for a credit that we could use later. This in not right Swoop!,Couple Leisure,Economy Class,1,4,4,,,1,4,no
swoop,Shawn Rutherford,2020-03-28,✅ Trip Verified |  Las Vegas to Edmonton. This airline should not be getting a dime from the government when it is not refunding or given full credits to the people that have their flights canceled. They make you use their modify and pick dates right there. No one should ever use this airline as they do not care about their customers. Please do not use this airline.,Family Leisure,Economy Class,1,,,,,,1,no
swoop,Brian Gieselman,2020-03-27,Not Verified | Terrible service! Our flight from Mesa to Edmonton and the return flight in May were cancelled due to the Coronavirus outbreak and subsequent closing of the U.S./Canada border. We are now unable to travel to Canada and Swoop refuses to issue anything other than Swoop credit. Edmonton is the only destination they fly to out of Mesa - lot of good credit will do. They seem to feel entitled to my money while not providing anything on their end. I understand the outbreak is outside their control but a simple refund is appropriate for this unusual situation. I am unable to reach anyone by phone. The call just ends saying that no one is available and hangs up.,Family Leisure,Economy Class,1,1,1,1,1,1,1,no
swoop,T Meissan,2020-03-26,"✅ Trip Verified |  Hamilton to Halifax. I have flown Swoop many times in the past few years, but have seen a real shift in their customer service. In light of a global pandemic, I was appalled at a couple of practices that seemed like safety oversights that negate the government mandate for social distancing.  When time to board, they called ""General Boarding Call"", instead of by zone or by row, which resulted in all passengers cramming up to the counter. The plane was 1/2 full, but their seating algorithm placed everyone at the back of the plane (because they want to charge extra for seats up front). Both of these areas could easily be improved at times like this: Stagger boarding, back of plane to front. Wave seating fees and aim to have 1 person per row, or at least seats between them. C'mon Swoop, this is easy stuff.",Solo Leisure,Economy Class,2,2,1,,,3,3,no
swoop,S Neill,2020-03-25,"✅ Trip Verified | Abbotsford to Hamilton. Swoop has displayed very poor business practices during this global crisis. I booked in March 2020 this year, before any case of the covid19. On March 20. I decided to cancel due to our civic duty to not engage in non-essential travel in order to help stop the spread of COVID19. We’ve been contacting Swoop, but it all ended up in a recording that they cannot attend to our call, then line cuts. Even the chat doesn’t help, message sent hasn’t answered. For the return flight, which is more than 7 days ahead, their new policy claim they give free to modify, but no, they still charging $100 per head for the change. This is the worst airline I have seen so far as the refund is concerned. My advice is to stay away from this airline.",Solo Leisure,Economy Class,1,1,1,1,1,1,1,no
swoop,Michelle Harvey,2020-03-25,"Not Verified | Mazatlan to Edmonton. Dear Swoop, thank you so much for all you did getting my parents home from Mexico during this time! You were amazing during this all and they had absolutely nothing bad to say about Swoop and actually said it was one of the best flights they have been on! Thanks again and hats off to you picking up the slack of WestJet and going above and beyond! Giving Swoop a thumbs up!",Couple Leisure,Economy Class,10,4,5,,,5,4,yes
swoop,S Makin,2020-03-24,"✅ Trip Verified | Abbotsford to Hamilton. Swoop has displayed very poor business practices during this global crisis. We booked in last year, before any case of the covid19. On March 13, only learned 2 days before our flight Mar.15, we decided to cancel due to our civic duty to not engage in non-essential travel in order to help stop the spread of COVID19. We’ve been contacting Swoop, but it all ended up in a recording that they cannot attend to our call, then line cuts. Even the chat doesn’t help, message sent hasn’t answered. For the return flight, which is more than 7 days ahead, their new policy claim they give free to modify, but no, they still charging $100 per head for the change and also jack up the price so you have to pay for the huge difference. I am extremely disappointed that the airline is not willing to issue Swoop credits for flights within Canada. It is absolutely appalling that Swoop is not offering travel credits or re-booking options for its customers amidst the Coronavirus health crisis/pandemic. The government is telling us to cancel all travel so we basically do not have a choice but to cancel and Swoop is a shame to use this time to promote cheaper prices.",Family Leisure,Economy Class,1,1,1,,,1,1,no
swoop,Dave Leong,2020-03-24,"Not Verified |  Due to Covid19 virus and the risk in taking this vacation, we as a group decided to cancel. 3 hrs and 20 minutes waiting on the phone with Swoop Getaway the company we booked with. 2 payments were charged to my Mastercard, 1 was Expedia and the other was Swoop. The Rep for Swoop Getaways stated due to the ""uncontrollable"" acts the flights maybe be credited to Swoop credits or a full refund to the original form of payment. The Expedia charged was refunded in full, and the Swoop was refunded as ""shell"" after researching this means credit. As stated in Swoops website ""Uncontrollable"" a customer has the option of a credit or a full refund. Now we get no response to email and can't reach them on the phone. Please dont support a company that doesn't suppose their customers or follow their own policies. Also will not give WestJet a dime as they are the parent company of Swoop.",Family Leisure,Economy Class,1,1,1,,,1,1,no
swoop,Lisa Thompson,2020-03-19,"Not Verified |  Abbotsford to Puerto Vallarta. Have now been on hold for 2 hours with Swoop. Trying to cancel as per their email regarding Corona. Cant cancel online, cant get anyone online, cant get anyone via email, and have now wasted 2 hours on phone which Im sure will disconnect any minute. This is not the first time Swoop. You offer terrible customer service and Westjet your parent company should be ashamed of themselves.",Solo Leisure,Economy Class,1,,,,,,3,no
swoop,Nicole M Strain,2020-03-19,"Not Verified |  Swoop has been nothing but insensitive and has displayed very poor business practices during this global crisis. My husband I were travelling to Edmonton with our two young children. When we decided to cancel due to our civic duty to not engage in non essential travel in order to help stop the spread of COVID19 swop was not there to answer a phone call. They wanted to charge us $15 to talk to a human, their online chat didn’t help and we could not access them via email. Swoop wanted to charge us $1200 to change our flights. Swoop is by far the worst airline out there. I’ve never flown with them and after this experience I never will furthermore I have told many never to fly with them and I have shared my experience with others. I am disgusted by swoop and I hope others tell their story because I know I am not the only one that is out hundreds of dollars due to their insensitivity and poor business practices.",Family Leisure,Economy Class,1,,,,,,1,no
swoop,Janet Vidal,2020-03-18,"Not Verified | Abbotsford to Edmonton. Horrible, horrible, horrible Don't go, stay away. We booked in Feb, before all the covid19 lockdowns. Only learned 4 days before flight Mar.15, that we had to isolate. Have been trying to reach them but no response. When you phone, line goes dead after 1 ring. Out $1700.00 because we couldn't cancel or reschedule. Never once had an update. You can only change your reservation 7 days prior to flight. Gov. changed rules 6 days before flight. Swoop does not care about you. Stay far, far, away.",Family Leisure,Economy Class,1,1,1,,,1,1,no
swoop,K Heale,2020-03-18,"✅ Trip Verified |  Hamilton to Fort Lauderdale. We were to fly out March 13, 2020. We have tried to get hold of Swoop for days (before the 7 day period) and have never been able to get through. We booked with our WestJet card and were told by WestJet to contact our carrier which is Swoop. We had to cancel as my dr recommended with virus we don't go as i have lupus. I get that they are probably going out of their minds with calls but other airlines have let people cancel in light of the virus. If this many people are complaining and losing money perhaps other means to get our money will need to be considered. This is not our fault, we only are trying to help ourselves to avoid what was the obvious.",Couple Leisure,Economy Class,1,,,,,,1,no
swoop,Liana Berteig,2020-03-18,✅ Trip Verified |  Winnipeg to Abbotsford. Our plane got grounded due to unforeseen safety maintenance. We called the customer service and spoke to Desiree. She was so helpful and patient. She got us on a flight with Westjet that afternoon with no hiccups or bumps. We were very satisfied with our service and the way Desiree dealt with our undesirable circumstances.,Family Leisure,Economy Class,10,5,5,,,5,5,yes
swoop,Jennifer Orr,2020-03-17,"Not Verified | Cancun to London. The date is March 16th. I am with my family in Cancun and just heard the Prime Minister's address asking all Canadian's to come home due to covid19. I wanted to change my Swoop flights from Saturday to an earlier flight on Thursday and Swoop would not do the change. I had to buy new tickets and take travel vouchers in order to get home. Additionally, while I was booking the flights they jacked up the price! Unbelievable!",Family Leisure,Economy Class,1,1,1,1,1,1,1,no
swoop,L Marston,2020-03-17,"✅ Trip Verified |  Edmonton to London. Our flight is Today March 17, 2020. From Edmonton to London Ontario through (Swoop) then from London Ontario to Orlando through Sunwing Airlines. Sunwing gave us a full refund but We’ve been contacting Swoop service lots of time Since March 12, but it all ended up in a recording apologizing that they cannot attend to our call, then line cuts. Even the chat doesn’t help, email haven’t answered. On cancellation Swoop are charging $150 per head which is a lot bigger than the fare, and changing flight dates they are charging to-and-fro $150+$100 per head, so, the use of Modifly is for the next flight after you charge up this huge amount? Be considerate enough to all your clients, being in a local flights doesn’t mean you are not subject to viral infection. I hope you can do something about this and not just wait for your clients/pasenger to not show up in threir flight just to protect themselves from being exposed to infection, then what, it’s your gain and we lose.",Family Leisure,Economy Class,1,,,,,,1,no
swoop,Brenda Baptiste,2020-03-17,✅ Trip Verified |  Hamilton to Edmonton. I am extremely disappointed that the airline is not willing to issue Swoop credits for flights within Canada. There are some people that are more at risk for catching Covid-19 and given the progression of this ILLness it should not matter where you are flying to.,Family Leisure,Premium Economy,1,1,1,,,1,1,no
swoop,Gerry Minor,2020-03-17,"✅ Trip Verified |  After re-booking a flight from Orlando to Hamilton with a live agent, I was promised a $50.00 credit off the ticket price for my next flight with Swoop. When I tried to apply this credit on a flight to Cancun, After waiting on hold for over an hour, I could not reach a live agent to receive it. I tried contacting an agent through the Swoop website to no avail. Never received a response to my written request to Swoop. What I find disturbing is the complete lack of care to help customers deal with flagrant issues. Swoop is a subsidiary of Westjet, one of the more popular and successful air carriers in Canada. I have never had an issue in all the years I have flown Westjet. How is it Westjet has not become involved with Swoop management to iron out these customer complaints? I have come that Swoop cannot survive the effects of the Covid-19 pandemic. ",Couple Leisure,Economy Class,3,1,2,,,2,1,no
swoop,Nolan Rempel,2020-03-17,"Not Verified |  Everything was overpriced. I ended up not bothering to get a drink on the flight, since they charge for water. There is no In-flight entertainment, there is a Swoop app that you can download, which has a streaming service there, which you need to pay for WiFi to use.  Ended up paying nearly 15 bucks for the in-flight WiFi which didn't work for me. Couldn't connect to anything that wasn't on the Swoop website. I had to go to safari on my phone to connect and pay, not the Swoop app. Top it off with having zero legroom, my knees squished up against the seat in front of me. I am never going to fly with Swoop again. ",Solo Leisure,Economy Class,2,2,2,,1,1,2,no
swoop,S Mazeeran,2020-03-16,"✅ Trip Verified |  I'm writing this from London Ontario Airport. A small airport which due to coronavirus now you hardly see anyone around. Our flight was at 12:25 pm and when I got to the airport many students were in the line in front of the Swoop counter and no employee was there. When one person finally came, she said they don't check in anymore. The flight is here hardly anyone in the airport and they didn't check in us while at 11:40 neither of them was in counter. It is not our fault that they left the counter earlier than usual times because they didn't have any travelers. The supervisor was not responsive and just kept showing a paper with a phone number. Is this called customer service? I tried to call many times and no one is responsive. This is not fair to customers. Most of the kids who lost their flight today at London airport were students who were forced to leave the residents due to universities closing because of the Coronavirus and now they have nowhere to go.",Solo Leisure,Economy Class,1,,,,,1,1,no
swoop,Karen Marasco,2020-03-16,✅ Trip Verified |  My 87 year-old mother & I booked a flight to Edmonton from Hamilton to leave March 20 and return March 24. On March 13 the airline announced that if your flight was more than 7 days away you could add their flight insurance for free and change or suspend your travel plans. Our trip was just under 7 days away! Also our flight was not an international flight but it was between two of the provinces with the highest rates of confirmed cases and also between two cities which have confirmed cases. We are asking that they reconsider and allow us to receive a credit so that we can reschedule or trip to see my sister and her ailing husband. He had COPD and is also very susceptible to the virus. Even the government has told us to avoid non-essential travel! I have yet to hear back from the Facebook messages that I have sent and cannot get through on the phone.,Family Leisure,Economy Class,2,,,,,,4,no
swoop,S Hayle,2020-03-16,"✅ Trip Verified |  Edmonton to Las Vegas. I would not recommend anyone flying with Swoop! Yes, they say their flights are cheaper but are they? At the end of the day, we have to pay for every single little thing including bad service and delays over delays! So the world announces a pandemic and everyone is trying to cancel their flight to get their money back so their health is not at risk and to prevent the spread of the virus not only does Swoop charge to speak to them but currently Swoop won’t even pick up calls or when they did pick up they say sorry we don’t refund for flights-no refund policy, not even world pandemic. Perhaps a credit? Shouldn’t this be an exception? WestJet and Air Canada are also credit or refunding customers. Even the government is paying people to stay at home and not travel. The hotel we booked even made an exception and refunded our money even tho they had a no refund policy understanding the situation. Shame!",Solo Leisure,Economy Class,1,1,1,,,1,1,no
swoop,Belkys Garcia,2020-03-16,"Not Verified |  From the early hours of today and taking into account the measures announced by Canada due to the coronavirus, we decided to cancel or modify our flight reservation to the city of Hamilton for March 15 from the city of Tampa, Florida, USA. The option to cancel or modify the flight does not work! We tried to call but it is impossible to communicate and we also saw that the charges for those calls are $15. Therefore, we are requesting the cancellation of our reservation and the refund of our total payment. We will be going tomorrow to a counter, to do a new complaint!",Family Leisure,Economy Class,1,1,1,,,1,1,no
swoop,Belkys Garcia,2020-03-15,Not Verified |  Tampa to Hamilton. Since yesterday March 13 we have been trying to modify or cancel our flight reservation to Canada. The option to cancel or modify the flight does not work! So we are requesting the cancellation of our reservation and that the total of our payment be re-sent to us.,Family Leisure,Economy Class,1,,,,,,1,no
