airline_name,author,date,content,type_traveller,cabin_flown,overall_rating,seat_comfort_rating,cabin_staff_rating,food_beverages_rating,inflight_entertainment_rating,ground_service_rating,value_money_rating,recommended
vistara,H Barten,2020-04-16,"✅ Trip Verified |  Guwahati to Delhi. My flight booked through Cheapoair for April 15th was canceled, Vistara could not provide the service I paid them for, and Cheapoair will not refund my money. It reflects poorly on your company.",Couple Leisure,Economy Class,1,,,,,,1,no
vistara,Jonathan Rivas,2020-04-08,"✅ Trip Verified |  Me and my partner were recently in India. We booked a ticket with Vistara from Goa to Delhi in order to be able to take our repatriation flight back to Europe. The Indian Government cancelled all domestic and internationals flights, including our domestic Vistara flight from Goa to Delhi. We asked the airline to give us a full refund for the flight that was cancelled. The airline refunded us half of the money back for the flight, saying that they didn't cancelled the flight, that it was government decision and that's why they charged a fee for the refund, and we only got back half of the money we payed. It's sad that a company like Vistara is profiting from a flight that never took place and that it is not willing to give a full refund to its customers specially in this time of crisis. I will not book anymore flights with Vistara again.",Couple Leisure,Economy Class,1,,,,,,1,no
vistara,S Pardelo,2020-04-04,✅ Trip Verified |  Kochi to Delhi. The Airline cancel our flight on 10th April and they don't give us our refund for tickets booked through BudgetAir. We need the refund because we are from Spain and we couldn't travel. ,Couple Leisure,Economy Class,1,,,,,,1,no
vistara,Dhondi Pradeep,2020-03-22,✅ Trip Verified |  Hyderabad to Delhi. Vistara airline dont respond to mail and phone and I have tried to contact them by both mail and phone from last 5 days and every time I call the line will be busy and it is very important for me to address my problem to vistara airline due to this Corona issue. I am unable to travel to airport because all facilities are stopped in Hyderabad.,Solo Leisure,Economy Class,1,,,,,,2,no
vistara,J Tovey,2020-03-15,Not Verified |  Delhi to Goa. Really pleasant experience flying with Vistara today. Slightly late taking off but arrived at the scheduled time. Wasn’t expecting any food or drinks to be provided in flight but pleasantly surprised to have a full meal provided. Plane was really modern and clean. Staff were excellent and will definitely fly with Vistara again.,Couple Leisure,Economy Class,10,5,5,5,,5,5,yes
vistara,Kalyani Sakalkale,2020-03-05,"Not Verified |  Delhi to Mumbai. Departure time was 4:55pm it departed at 5:10 pm and arrival timing was 7:05 pm and we reached at 7:45. For opening the gates they took another half an hour everyone were standing and waiting in the flight. After reaching they announced our baggage to be collected at counter 11 and after 30 minutes of waiting we started searching on all the counters and found our baggage on counter 14. At 9 pm we left airport. Vistara doesn't value time.  Vistara flight attendants are good, interior of the flight is also good, but traveling experience was not good.",Couple Leisure,Economy Class,5,1,4,,,3,1,no
vistara,Amreen Khan,2020-02-27,"Not Verified |  Bangalore to Delhi. We were late for the check in. The flight timing is 7am we arrived 6.15 near the Vistara customer service. They did not let us board the flight and no refund done. Very bad service no concern about the customer.  We wasted around 30,000 rupees for this.",Family Leisure,Economy Class,1,,,,,1,1,no
vistara,B Chardour,2020-02-12,"✅ Trip Verified |  Kolkata to Amritsar via Delhi, we had a short connection time of around an hour. The CCU to DEL flight was delayed thereby reducing transfer time severely. I raised it with the cabin crew and they showed no interest. We ran to the domestic transfer desk, up to that point there was nobody to help or ask. At the transfer desk vistara staff couldn't even be bothered to look at us: busy with their mobiles. I instructed them to call the ATQ flight team and let them know of our situation. They called them and asked ""what should I do with these people, do you want them on the flight?"". We were told we have to rush, I reminded them that their flight was delayed. The response was yes I know but now you run. The ATQ flight departed from Gate 52!! The opposite end of the airport. Upon check-in at CCU we enquired as to what will happen in case of a delay, we were assured that we will be collected and taken to the next flight, perhaps even a tarmac transfer: forget this, we weren't offered a buggie transfer to the gate in Delhi. Had I been travelling alone perhaps this wouldn't bother me so, however I was travelling with my elderly parents: in fact, my father celebrated his 80th birthday with a sprint through Delhi airport due to Vistara's incompetence. The return journey was equally bad in terms of a another hectic transfer and zero assistance from vistara. This time the chap at the transfer desk refused to call ahead and let them know we would be arriving. For all four flights the cabin crew were disengaged, service was slow. On the return, for both sectors non-veg meals were not available. It took an age for the bags to be delivered. Citing the above I asked Vistara to refund me the difference between Premium economy and economy as a premium service was simply not provided, they refused. We just received the standard template of apologies, needless to say won't be travelling with them again.",Family Leisure,Premium Economy,1,2,1,1,,1,1,no
vistara,H Madyesh,2020-02-06,"✅ Trip Verified |  Delhi to Kolkata. Airline delivered excellent service. Cabin crews were sincere to help passengers. Food was good in terms of quantity and quality. Although it was a 2:30 hrs domestic flight , they provided hot towels. Although tickets are bit costly, but paying a bit for this quality services is worth.",Solo Leisure,Premium Economy,10,5,5,5,,5,4,yes
vistara,Adnan Maulvi,2020-02-04,"Not Verified |  Dubai to Mumbai with Vistara. Lovely features and free seat and meal selection, convenient and very nice flights. I will highly recommend for all my friends and family. Amazing level of service and within your budget.",Family Leisure,Economy Class,10,5,5,5,5,5,5,yes
vistara,Anup Nair,2020-01-11,✅ Trip Verified |  Normally I have a very good experience with Vistara ground staff and in flight staff.However my experience was terrible with a ground staff when I flew Delhi to Hyderabad. She seemed to be rude and didn't bother to patiently listen. She was rude with other passengers. ,Business,Economy Class,2,4,4,4,2,2,5,yes
vistara,S Darshema,2020-01-10,"✅ Trip Verified |  Delhi to Varanasi, the ground staff transferred us to a different flight 3 hours later than the original flight that we had booked. Although I had booked my flight ticket a week ago , the reason they gave for this was that the flight was overbooked. On top of that the staff was unapologetic and didn’t bother about the customer satisfaction at all. Overall a very bad experience with vistara.",Family Leisure,Economy Class,1,,,,,1,1,no
vistara,M Thane,2019-12-22,"✅ Trip Verified |  Delhi to Chennai. Awesome service.! I got late due to unexpected traffic but since I checked in online, the ground team kept constantly following up and ensured we board the plane. Fantastic ground service.",Family Leisure,Economy Class,10,4,4,4,3,5,4,yes
vistara,S Pradhan,2019-12-20,"✅ Trip Verified |  Bagdogra to New Delhi. Had a wonderful experience with Vistara. Although the flight was delayed a bit but it was fine as it was delayed due to the weather. The crew greeted us cheerfully. My seat mate were elderly people, they needed assistance to go to the washroom, the crew assisted with a complain. They politely reminded everyone about the instructions. The smell of the cabin was pleasing complimented by the boarding music. The food was of superior quality was delicious. The in-flight entertainment streamed directly in personal device was a nice touch.. Although the live map can be upgraded. Overall a pleasant flying experience. Vistara is truly India's premium and best airline.",Solo Leisure,Economy Class,10,5,5,5,4,5,5,yes
vistara,S Srijeeta,2019-12-20,"✅ Trip Verified |  Delhi to Ranchi. Airport experience is overall good, good staffing. Even food options are now available at piers now which is impressive and time saving. Easy to travel from Delhi airport always.",Solo Leisure,Economy Class,9,5,5,5,5,5,5,yes
