airline_name,author,date,content,type_traveller,cabin_flown,overall_rating,seat_comfort_rating,cabin_staff_rating,food_beverages_rating,inflight_entertainment_rating,ground_service_rating,value_money_rating,recommended
xiamen airlines,Allie Miller,2020-02-01,"Not Verified |  Los Angeles to Ho Chi Minh via Xiamen. I am extremely disappointed in the customer service I received from this airline. I paid $748.00 to change the flight for me and my partner, because I was given the wrong date to return on. $400 of that fee was just for them to make the change. Shortly after making this payment they involuntarily changed the flight I had just paid to change. I was able to call and cancel my flights but they refused to give me the $400 back for the cost the to make the change, which they immediately changed which take away the point of paying $400 of a specific flight home that matches our schedule.",Couple Leisure,Economy Class,1,,,,,,1,no
xiamen airlines,Y Xu,2020-01-23,"✅ Trip Verified |  Never fly with Xiamen airline again! Irresponsible staff and an airline who’s only interested in snatching money from customers. On November 2019 I was booked for the flight traveling from Seoul to Vancouver but at the check-in counter they denied my boarding because I looked fatter than my passport photo. What the hell! Another airline flew me back home and gave me no troubles, I passed border security checks absolutely no problems. Only ridiculous Xiamen airline caused me so much trouble. When I asked them to return my flight ticket money, they agreed, but it’s been 2 months now I still don’t see my money returned to my bank account. They never pick up their phones, when I try contacting by email they just give me excuses like oh we are still processing your return. Really? How many months do you need to process a return Xiamen airline?",Solo Leisure,Economy Class,1,,,,,1,1,no
xiamen airlines,Henry Musa,2020-01-07,"✅ Trip Verified |  Bangkok to Los Angeles via Xiamen return. Everything was great, check-in at Suvarnabhumi Airport was smooth and the flight from Bangkok to Xiamen was on-time and they served a tasty meal. We noticed how friendly the cabin crew were r. Only downside about the 737 from Bangkok is that there's no personal tv screen. At Xiamen Airport for our 18-hour layover, immigration process was smooth, we were eligible for a free transit visa. We received a free accommodation voucher by Xiamen Air. The hotel we were given was the airline's own Xiamen Air Hotel in the heart of Xiamen. The room had two double beds and included a Chinese buffet breakfast too. Xiamen to Los Angeles on Boeing 787-9 was better. Great on-board entertainment, with plenty of Hollywood movies to choose from. We were served 3 meals and a snack on the 12-hour journey to LAX. I applied for their free wifi in advance (only 50 spots per flight), which worked well. You only get 3-hours but it was free. One thing that surprised me was the English proficiency of their crew. An added bonus was the opportunity to visit the lovely Chinese coastal city of Xiamen.  The price we paid for our return journey from BKK to LAX was almost half the price of a return ticket from BKK to SYD at the time of our departure. Outstanding value for money.",Family Leisure,Economy Class,9,5,5,4,4,5,5,yes
xiamen airlines,C Leare,2020-01-07,"✅ Trip Verified |  Dalian to Bangkok via Fuzhou. A very strange flight, both International and domestic passengers to Fuzhou, you then vacate the plane rush through immigration and then get back on the same plane with new customers from Fuzhou going to Bangkok. The return is the same, apart from at Dalian you are bused to the terminal in two separate buses, one for people from Bangkok the other for new passengers from Fuzhou. Bags come out in different sections of Dalian airport. It very confusing and only one hour on ground in Fuzhou, makes it a rush job. Seating average, food average, actually everything average.",Family Leisure,Economy Class,6,2,4,2,1,3,3,no
xiamen airlines,P Lewis,2020-01-04,✅ Trip Verified | Vancouver to Manila via Xiamen. Your policy for re-booking is crazy. You are a money grabber. I will never book to your airline anymore. I will see to it that my relatives and friends here and around the world do not book a flight with your airlines because you're so greedy. No humanity at all!,Solo Leisure,Economy Class,1,1,1,,,1,1,no
xiamen airlines,T Morchadi,2020-01-02,✅ Trip Verified |  Fuzhou to Jakarta. This flight is the worst I have ever had. The plane have to divert to Palembang and there is no update on the Jakarta flight. All passengers have to wait with no certainty for several hours on the plane. This is the last trip with this airline,Family Leisure,Economy Class,4,2,1,2,1,2,2,no
xiamen airlines,T Lee,2019-12-31,"✅ Trip Verified | Xiamen to Amsterdam. The flight attendants are kind, willing to assist with cabin luggage. The English they speak is okay. The seats are comfortable and stuff like long socks, blankets, earphones and pillows are offered. Most of the time, I fly solo with Xiamen Airlines, but this June when I flew with my partner (German nationality), they offered great help both by email and at the airport for my partner's 144 hours transit visa free, The food and beverages onboard is good; for breakfast and dinner they have at least two options between Chinese and Western food. The dishes taste good and the portion is  big.  During late night, they offer sandwiches and hand out some warm towels or tea. Before landing, breakfast is offered. The content of movies is a bit limiting for Hollywood movies, but there's a big collection of Chinese/Japanese and Korean series and films. ",Couple Leisure,Economy Class,9,3,4,4,2,3,4,yes
xiamen airlines,Sean Clarke,2019-11-07,"✅ Trip Verified | Dublin to Xiamen via Amsterdam. The crew were really pleasant and went out of their way to be helpful. Very clean plane and comfortable seat - the usual lie flat. Entertainment was so poor with a very small selection of movies. Maybe we expect more as the western/mid-eastern airlines give you a really decent selection. The food was below par and no great shakes at all. Big no-no - they did not serve any vodka! This is a very first for me on any airline worldwide and I fly 30-40 times a year. With gin is this possibly the worlds most popular white spirt? I only drink an odd vodka and tonic so I went without. However, for the value and it was an offer, I had to give 4 stars. Other airlines for my destination were €4-500 more expensive and that is a big saving. If the fare narrows to €2-250 I would fly another.",Solo Leisure,Business Class,4,4,5,2,2,4,4,yes
xiamen airlines,D Keale,2019-11-06,"✅ Trip Verified |  Los Angles to Jakarta via Xiamen and a stop in Qingdao that was not mentioned during reservation. Very competent crew, attentive and I found them to have an OK English but not fluent. The food was good for the most part. Poor management with long layovers.  The air line damaged one piece of the luggage that they would not acknowledge( was soaked in oil) also the airline would not honor the flown miles which was very odd after communicating with them numerous times regarding that. It was the first time flying with them and probably the last time.",Business,Economy Class,4,3,3,3,2,3,4,no
xiamen airlines,James Heale,2019-09-14,✅ Trip Verified |  New York to Nanning via FuzhouThis was overall a good flight. Very competent crew. Very attentive and I found them to have an OK command of English but not fluent. From JFK to FOC the seats were comfortable and the IFE was adequate. The food was good for the most part. When drinks got low the flight attendants brought another without me having to ask. We had about a 15 hour layover in Fuzhou but they gave us a premium hotel room plus free transportation. The aircraft from Fuzhou to Nanning was changed to a single class 738. We were reimbursed the difference in cost between business class and economy and given priority boarding and our seats were left open in the middle so that we had more room. The flight was about 40 minutes late leaving Fuzhou but that was an air traffic control issue and not Xiamen Airlines issue. Well worth the money and I recommend this airline. My only issue are long layovers because I have another one on the upcoming trip home.,Couple Leisure,Business Class,10,4,5,4,5,5,5,yes
xiamen airlines,S  Marshin,2019-08-26,"✅ Trip Verified |  Los Angeles to Melbourne via Xiamen. This was a long journey for me, from LAX to Melbourne via Xiamen. This airline has great food.  The portion sizes were big enough, and they came through fairly frequently with drinks as well. The meals themselves were good. I loved the Chinese food selections, and the highlights for me were the breakfast rice porridge with egg and vegetables, and a fish and rice dish with raw salmon on the side, and a stir-fried noodle dish. The staff were generally friendly and nice. Inflight entertainment was good. Seats were comfy - I'm pretty small so maybe that's why. The journey from LAX to Xiamen was actually via Qingdao, and the journey from Xiamen to Melbourne was via Hangzhou and this was stated in my ticket. The wifi didn't connect on my phone.",Solo Leisure,Economy Class,8,4,4,5,5,4,4,yes
